B,700,975,46.44
R,3077,1358,38.43
B,316,549,35.43
B,2226,977,27.30
R,101,226,24.53
B,3566,1735,18.78
R,1243,2014,16.57
G1,802,276,13.76
B,2180,1999,12.01
B,3638,1435,11.30
R,2601,1744,11.13
G1,850,618,10.98
R,277,324,10.68
G2,269,1601,10.64
B,286,839,10.54
B,3286,1085,10.44
B, 88,2069,10.33
B,742,585,10.32
G1,3490,2070,10.32
B,184,223,10.28
B,392,1947,10.25
B,3138,643,10.09
B,688,1835,10.09
R,1223,480,10.07
B,300,1039,10.02
R,149,1310,10.01
B,2672,1773,10.01
B,3194,1797,10.00
B,312,1325,9.99
R,1761, 84,9.96
B,2970,1101,9.95
R,187,1090,9.90
B,272,1835,9.90
B,180,1915,9.85
G2,237,1879,9.84
B,3610,627,9.83
B,786, 93,9.80
B,2104,1921,9.79
B,712,507,9.77
B,3270,783,9.77
R,3249,650,9.76
B,3542, 47,9.74
G1,3752,920,9.72
B,564,791,9.72
R,2993,1984,9.72
R,167,1440,9.70
B,1364,2071,9.70
B,3386,569,9.69
R,941,368,9.68
B,360,117,9.67
B,3584,1237,9.66
R,107,1270,9.66
B,1508,825,9.66
B,3762,1255,9.62
B,434,1557,9.61
B,3648,1889,9.61
B,3072,223,9.60
G2,169,427,9.60
R,1981,1244,9.60
B,634,2071,9.59
B,382,205,9.59
R,3409,2042,9.59
B,146,1403,9.57
G1,204,132,9.57
