B,700,975,163.73
R,3077,1358,156.72
G1,802,276,149.70
B,2226,977,117.73
G1,850,618,100.70
B,316,549,84.73
G2,2693,831,71.70
R,101,226,64.72
G2,269,1601,64.70
R,1243,2014,62.72
G2,2783,1069,61.70
G1,318,888,57.70
B,2180,1999,52.73
R,2601,1744,52.72
G1,3060,2158,52.70
R,1869,950,50.72
B,3566,1735,49.73
G2,3507, 81,44.70
G1,1734,1036,43.70
G2,1683,967,37.70
B,2104,1921,36.73
G1,790,1502,32.70
B,3250,411,31.73
R,1469,1858,30.72
B,1854,1327,29.73
R,1641,124,29.72
B,1190,915,27.73
R,1241,1216,27.72
R,1217,1460,26.72
G1,3532, 84,26.70
G2,3121,691,26.70
B,2008,1071,24.73
B,2542,1925,24.73
R,3477,300,24.72
R,1325,1436,23.72
G2,3639,1847,23.70
B,3442,647,22.73
B,3076,2035,22.73
G1,2196,1010,22.70
G2,1069,1865,22.70
G2,585,871,21.70
B,3638,1435,20.73
B,2928,417,20.73
B,636,951,20.73
R, 59,860,20.72
G2,331,1545,20.70
G2,3663,1289,20.70
G2,1777,1869,20.70
B,1206,2029,19.73
R, 29,138,19.72
R,2745,1616,19.72
G2,1153,633,19.70
B,3542, 47,18.73
B,2192,269,18.73
B,3000,1073,18.73
G1,2580,1402,18.70
G2,2983, 83,18.70
R,591,372,17.72
R,1519,1318,17.72
R,2749,1140,17.72
G2,2557,839,17.70
G2,207,219,17.70
G2,3411,1387,17.70
R,1181,468,16.72
