Hz,dBFS(rms),THD(%),BUZZ(%)
0.00,-62.67,0.00,0.00
5.86,-54.27,0.00,0.00
11.72,-56.79,0.00,0.00
17.58,-61.30,0.00,0.00
23.44,-62.88,0.00,0.00
29.30,-61.96,0.00,0.00
35.16,-62.75,0.00,0.00
41.02,-59.09,0.00,0.00
46.88,-59.17,0.00,0.00
52.73,-64.24,0.00,0.00
58.59,-62.86,0.00,0.00
64.45,-63.92,0.00,0.00
70.31,-68.80,0.00,0.00
76.17,-68.92,0.00,0.00
82.03,-66.94,0.00,0.00
87.89,-67.43,0.00,0.00
93.75,-69.90,0.00,0.00
99.61,-72.07,0.00,0.00
105.47,-74.06,0.00,0.00
111.33,-72.27,0.00,0.00
117.19,-60.35,0.00,0.00
123.05,-60.65,0.00,0.00
128.91,-74.47,0.00,0.00
134.77,-73.73,0.00,0.00
140.63,-71.50,0.00,0.00
146.48,-78.82,0.00,0.00
152.34,-81.36,0.00,0.00
158.20,-82.50,0.00,0.00
164.06,-84.54,0.00,0.00
169.92,-85.80,0.00,0.00
175.78,-79.09,0.00,0.00
181.64,-77.04,0.00,0.00
187.50,-82.59,0.00,0.00
193.36,-83.08,0.00,0.00
199.22,-82.77,0.00,0.00
205.08,-84.53,0.00,0.00
210.94,-85.09,0.00,0.00
216.80,-86.09,0.00,0.00
222.66,-87.09,0.00,0.00
228.52,-89.73,0.00,0.00
234.38,-87.83,0.00,0.00
240.23,-83.35,0.00,0.00
246.09,-88.96,0.00,0.00
251.95,-94.05,0.00,0.00
257.81,-93.87,0.00,0.00
263.67,-94.26,0.00,0.00
269.53,-95.19,0.00,0.00
275.39,-92.88,0.00,0.00
281.25,-93.35,0.00,0.00
287.11,-97.95,0.00,0.00
292.97,-99.99,0.00,0.00
298.83,-99.65,0.00,0.00
304.69,-100.39,0.00,0.00
310.55,-101.47,0.00,0.00
316.41,-100.24,0.00,0.00
322.27,-100.49,0.00,0.00
328.13,-99.46,0.00,0.00
333.98,-99.33,0.00,0.00
339.84,-99.90,0.00,0.00
345.70,-99.07,0.00,0.00
351.56,-97.67,0.00,0.00
357.42,-91.56,0.00,0.00
363.28,-91.72,0.00,0.00
369.14,-96.00,0.00,0.00
375.00,-95.57,0.00,0.00
380.86,-94.87,0.00,0.00
386.72,-95.74,0.00,0.00
392.58,-94.88,0.00,0.00
398.44,-93.23,0.00,0.00
404.30,-94.14,0.00,0.00
410.16,-96.41,0.00,0.00
416.02,-94.62,0.00,0.00
421.88,-95.82,0.00,0.00
427.73,-97.68,0.00,0.00
433.59,-87.24,0.00,0.00
439.45,-83.42,0.00,0.00
445.31,-90.58,0.00,0.00
451.17,-96.27,0.00,0.00
