Hz,dBFS(rms),THD(%),BUZZ(%)
0.00,-64.69,0.00,0.00,slices,4915
5.86,-57.34,0.00,0.00,ffts,4915
11.72,-57.50,0.00,0.00
17.58,-52.33,0.00,0.00
23.44,-53.96,0.00,0.00
29.30,-58.27,0.00,0.00
35.16,-55.91,0.00,0.00
41.02,-56.86,0.00,0.00
46.88,-55.64,0.00,0.00
52.73,-56.98,0.00,0.00
58.59,-58.08,0.00,0.00
64.45,-60.09,0.00,0.00
70.31,-63.99,0.00,0.00
76.17,-67.35,0.00,0.00
82.03,-69.07,0.00,0.00
87.89,-69.32,0.00,0.00
93.75,-69.92,0.00,0.00
99.61,-67.39,0.00,0.00
105.47,-66.13,0.00,0.00
111.33,-62.07,0.00,0.00
117.19,-54.94,0.00,0.00
123.05,-49.92,0.00,0.00
128.91,-47.72,0.01,0.00
134.77,-47.37,0.01,0.00
140.63,-46.47,0.01,0.00
146.48,-46.05,0.01,0.00
152.34,-45.60,0.01,0.00
158.20,-45.19,0.01,0.00
164.06,-44.75,0.01,0.00
169.92,-44.49,0.01,0.00
175.78,-44.39,0.01,0.00
181.64,-44.39,0.01,0.00
187.50,-44.48,0.01,0.00
193.36,-44.65,0.01,0.00
199.22,-44.91,0.01,0.00
205.08,-45.29,0.01,0.00
210.94,-45.76,0.01,0.00
216.80,-46.24,0.01,0.00
222.66,-46.75,0.01,0.00
228.52,-47.31,0.01,0.00
234.38,-47.91,0.01,0.00
240.23,-48.50,0.01,0.00
246.09,-48.99,0.01,0.00
251.95,-49.40,0.01,0.00
257.81,-49.80,0.01,0.00
263.67,-50.00,0.01,0.00
269.53,-50.10,0.00,0.00
275.39,-50.13,0.00,0.00
281.25,-50.10,0.00,0.00
287.11,-50.05,0.00,0.00
292.97,-50.01,0.01,0.00
298.83,-49.98,0.01,0.00
304.69,-49.94,0.01,0.00
310.55,-49.93,0.01,0.00
316.41,-49.98,0.01,0.00
322.27,-50.09,0.00,0.00
328.13,-50.27,0.00,0.00
333.98,-50.53,0.00,0.00
339.84,-50.84,0.00,0.00
345.70,-51.21,0.00,0.00
351.56,-51.62,0.00,0.00
357.42,-52.06,0.00,0.00
363.28,-52.52,0.00,0.00
369.14,-53.00,0.00,0.00
375.00,-53.45,0.00,0.00
380.86,-53.84,0.00,0.00
386.72,-54.30,0.00,0.00
392.58,-54.71,0.01,0.00
398.44,-55.15,0.01,0.00
404.30,-55.52,0.01,0.00
410.16,-55.83,0.01,0.00
416.02,-56.04,0.01,0.00
421.88,-56.19,0.01,0.00
427.73,-56.35,0.01,0.00
433.59,-56.58,0.01,0.00
439.45,-56.83,0.01,0.00
445.31,-57.14,0.01,0.00
451.17,-57.49,0.01,0.00
457.03,-57.86,0.01,0.00
462.89,-58.21,0.01,0.00
468.75,-58.53,0.01,0.00
474.61,-58.84,0.01,0.00
480.47,-59.15,0.01,0.00
486.33,-59.46,0.01,0.00
492.19,-59.80,0.01,0.00
498.05,-60.15,0.01,0.00
503.91,-60.47,0.01,0.00
509.77,-60.80,0.01,0.00
515.63,-61.18,0.01,0.00
521.48,-61.57,0.01,0.00
527.34,-62.03,0.01,0.00
533.20,-62.52,0.01,0.00
539.06,-63.03,0.01,0.00
544.92,-63.53,0.01,0.00
550.78,-63.95,0.00,0.00
556.64,-64.20,0.01,0.00
562.50,-64.31,0.01,0.00
568.36,-64.30,0.00,0.00
574.22,-64.07,0.00,0.00
580.08,-63.57,0.00,0.00
585.94,-62.88,0.00,0.00
591.80,-62.13,0.00,0.00
597.66,-61.38,0.00,0.00
603.52,-60.69,0.00,0.00
609.38,-60.07,0.00,0.00
615.23,-59.51,0.00,0.00
621.09,-59.03,0.00,0.00
626.95,-58.62,0.00,0.00
632.81,-58.22,0.00,0.00
638.67,-57.94,0.00,0.00
644.53,-57.71,0.00,0.00
650.39,-57.55,0.00,0.00
656.25,-57.42,0.00,0.00
662.11,-57.33,0.01,0.00
667.97,-57.27,0.01,0.00
673.83,-57.24,0.01,0.00
679.69,-57.24,0.00,0.00
685.55,-57.28,0.00,0.00
691.41,-57.35,0.00,0.00
697.27,-57.44,0.01,0.00
703.13,-57.52,0.00,0.00
708.98,-57.60,0.00,0.00
714.84,-57.66,0.00,0.00
720.70,-57.72,0.00,0.00
726.56,-57.79,0.00,0.00
732.42,-57.87,0.00,0.00
738.28,-57.99,0.00,0.00
744.14,-58.13,0.00,0.00
750.00,-58.27,0.00,0.00
755.86,-58.37,0.00,0.00
761.72,-58.40,0.00,0.00
767.58,-58.33,0.00,0.00
773.44,-58.18,0.00,0.00
779.30,-57.98,0.00,0.00
785.16,-57.73,0.00,0.00
791.02,-57.46,0.00,0.00
796.88,-57.20,0.00,0.00
802.73,-56.92,0.00,0.00
808.59,-56.62,0.00,0.00
814.45,-56.30,0.00,0.00
820.31,-55.96,0.00,0.00
826.17,-55.60,0.00,0.00
832.03,-55.23,0.00,0.00
837.89,-54.84,0.00,0.00
843.75,-54.45,0.00,0.00
849.61,-54.06,0.00,0.00
855.47,-53.68,0.00,0.00
861.33,-53.31,0.00,0.00
867.19,-52.95,0.00,0.00
873.05,-52.61,0.00,0.00
878.91,-52.30,0.00,0.00
884.77,-51.99,0.00,0.00
890.63,-51.71,0.00,0.00
896.48,-51.44,0.00,0.00
902.34,-51.18,0.00,0.00
908.20,-50.95,0.00,0.00
914.06,-50.75,0.00,0.00
919.92,-50.59,0.00,0.00
925.78,-50.45,0.00,0.00
931.64,-50.34,0.00,0.00
937.50,-50.26,0.00,0.00
943.36,-50.19,0.00,0.00
949.22,-50.13,0.00,0.00
955.08,-50.08,0.00,0.00
960.94,-50.03,0.00,0.00
966.80,-49.99,0.00,0.00
972.66,-49.96,0.00,0.00
978.52,-49.94,0.00,0.00
984.38,-49.95,0.00,0.00
990.23,-49.96,0.00,0.00
996.09,-49.96,0.00,0.00
1001.95,-49.94,0.00,0.00
1007.81,-49.90,0.00,0.00
1013.67,-49.84,0.00,0.00
1019.53,-49.77,0.00,0.00
1025.39,-49.69,0.00,0.00
1031.25,-49.62,0.00,0.00
1037.11,-49.54,0.00,0.00
1042.97,-49.45,0.00,0.00
1048.83,-49.36,0.00,0.00
1054.69,-49.27,0.00,0.00
1060.55,-49.17,0.00,0.00
1066.41,-49.08,0.00,0.00
1072.27,-48.98,0.00,0.00
1078.13,-48.88,0.00,0.00
1083.98,-48.79,0.00,0.00
1089.84,-48.69,0.00,0.00
1095.70,-48.60,0.00,0.00
1101.56,-48.51,0.00,0.00
1107.42,-48.42,0.00,0.00
1113.28,-48.31,0.00,0.00
1119.14,-48.20,0.00,0.00
1125.00,-48.08,0.00,0.00
1130.86,-47.96,0.00,0.00
1136.72,-47.84,0.00,0.00
1142.58,-47.71,0.00,0.00
1148.44,-47.60,0.00,0.00
1154.30,-47.48,0.00,0.00
1160.16,-47.38,0.00,0.00
1166.02,-47.28,0.00,0.00
1171.88,-47.20,0.00,0.00
1177.73,-47.14,0.00,0.00
1183.59,-47.09,0.00,0.00
1189.45,-47.05,0.00,0.00
1195.31,-47.03,0.00,0.00
1201.17,-47.01,0.00,0.00
1207.03,-46.97,0.00,0.00
1212.89,-46.92,0.00,0.00
1218.75,-46.85,0.00,0.00
1224.61,-46.76,0.00,0.00
1230.47,-46.64,0.00,0.00
1236.33,-46.52,0.00,0.00
1242.19,-46.40,0.00,0.00
1248.05,-46.27,0.00,0.00
1253.91,-46.15,0.00,0.00
1259.77,-46.04,0.00,0.00
1265.63,-45.92,0.00,0.00
1271.48,-45.81,0.00,0.00
1277.34,-45.70,0.00,0.00
1283.20,-45.57,0.00,0.00
1289.06,-45.43,0.00,0.00
1294.92,-45.28,0.00,0.00
1300.78,-45.10,0.00,0.00
1306.64,-44.90,0.00,0.00
1312.50,-44.65,0.00,0.00
1318.36,-44.37,0.00,0.00
1324.22,-44.06,0.00,0.00
1330.08,-43.71,0.00,0.00
1335.94,-43.34,0.00,0.00
1341.80,-42.97,0.00,0.00
1347.66,-42.60,0.00,0.00
1353.52,-42.23,0.00,0.00
1359.38,-41.88,0.00,0.00
1365.23,-41.55,0.00,0.00
1371.09,-41.26,0.00,0.00
1376.95,-41.02,0.00,0.00
1382.81,-40.83,0.00,0.00
1388.67,-40.68,0.00,0.00
1394.53,-40.58,0.00,0.00
1400.39,-40.52,0.00,0.00
1406.25,-40.49,0.00,0.00
1412.11,-40.50,0.00,0.00
1417.97,-40.53,0.00,0.00
1423.83,-40.58,0.00,0.00
1429.69,-40.63,0.00,0.00
1435.55,-40.70,0.00,0.00
1441.41,-40.76,0.00,0.00
1447.27,-40.83,0.00,0.00
1453.13,-40.90,0.00,0.00
1458.98,-40.97,0.00,0.00
1464.84,-41.03,0.00,0.00
1470.70,-41.09,0.00,0.00
1476.56,-41.16,0.00,0.00
1482.42,-41.22,0.00,0.00
1488.28,-41.28,0.00,0.00
1494.14,-41.34,0.00,0.00
1500.00,-41.41,0.00,0.00
1505.86,-41.49,0.00,0.00
1511.72,-41.56,0.00,0.00
1517.58,-41.64,0.00,0.00
1523.44,-41.72,0.00,0.00
1529.30,-41.81,0.00,0.00
1535.16,-41.90,0.00,0.00
1541.02,-42.00,0.00,0.00
1546.88,-42.09,0.00,0.00
1552.73,-42.19,0.00,0.00
1558.59,-42.29,0.00,0.00
1564.45,-42.39,0.00,0.00
1570.31,-42.50,0.00,0.00
1576.17,-42.61,0.00,0.00
1582.03,-42.73,0.00,0.00
1587.89,-42.85,0.00,0.00
1593.75,-42.99,0.00,0.00
1599.61,-43.15,0.00,0.00
1605.47,-43.32,0.00,0.00
1611.33,-43.52,0.00,0.00
1617.19,-43.72,0.00,0.00
1623.05,-43.94,0.00,0.00
1628.91,-44.15,0.00,0.00
1634.77,-44.35,0.00,0.00
1640.63,-44.54,0.00,0.00
1646.48,-44.71,0.00,0.00
1652.34,-44.85,0.00,0.00
1658.20,-44.98,0.00,0.00
1664.06,-45.10,0.00,0.00
1669.92,-45.22,0.00,0.00
1675.78,-45.36,0.00,0.00
1681.64,-45.51,0.00,0.00
1687.50,-45.68,0.00,0.00
1693.36,-45.86,0.00,0.00
1699.22,-46.05,0.00,0.00
1705.08,-46.24,0.00,0.00
1710.94,-46.43,0.00,0.00
1716.80,-46.63,0.00,0.00
1722.66,-46.81,0.00,0.00
1728.52,-46.99,0.00,0.00
1734.38,-47.16,0.00,0.00
1740.23,-47.32,0.00,0.00
1746.09,-47.46,0.00,0.00
1751.95,-47.58,0.00,0.00
1757.81,-47.69,0.00,0.00
1763.67,-47.79,0.00,0.00
1769.53,-47.88,0.00,0.00
1775.39,-47.98,0.00,0.00
1781.25,-48.07,0.00,0.00
1787.11,-48.17,0.00,0.00
1792.97,-48.28,0.00,0.00
1798.83,-48.42,0.00,0.00
1804.69,-48.57,0.00,0.00
1810.55,-48.73,0.00,0.00
1816.41,-48.91,0.00,0.00
1822.27,-49.09,0.00,0.00
1828.13,-49.29,0.00,0.00
1833.98,-49.49,0.00,0.00
1839.84,-49.68,0.00,0.00
1845.70,-49.88,0.00,0.00
1851.56,-50.07,0.00,0.00
1857.42,-50.27,0.00,0.00
1863.28,-50.47,0.00,0.00
1869.14,-50.66,0.00,0.00
1875.00,-50.86,0.00,0.00
1880.86,-51.07,0.00,0.00
1886.72,-51.29,0.00,0.00
1892.58,-51.52,0.00,0.00
1898.44,-51.74,0.00,0.00
1904.30,-51.96,0.00,0.00
1910.16,-52.17,0.00,0.00
1916.02,-52.36,0.00,0.00
1921.88,-52.52,0.00,0.00
1927.73,-52.64,0.00,0.00
1933.59,-52.72,0.00,0.00
1939.45,-52.74,0.00,0.00
1945.31,-52.70,0.00,0.00
1951.17,-52.61,0.00,0.00
1957.03,-52.47,0.00,0.00
1962.89,-52.28,0.00,0.00
1968.75,-52.07,0.00,0.00
1974.61,-51.85,0.00,0.00
1980.47,-51.66,0.00,0.00
1986.33,-51.53,0.00,0.00
1992.19,-51.49,0.00,0.00
1998.05,-51.52,0.00,0.00
2003.91,-51.61,0.00,0.00
2009.77,-51.74,0.00,0.00
2015.63,-51.93,0.00,0.00
2021.48,-52.17,0.00,0.00
2027.34,-52.41,0.00,0.00
2033.20,-52.62,0.00,0.00
2039.06,-52.80,0.00,0.00
2044.92,-52.95,0.00,0.00
2050.78,-53.04,0.00,0.00
2056.64,-53.05,0.00,0.00
2062.50,-52.95,0.00,0.00
2068.36,-52.78,0.00,0.00
2074.22,-52.56,0.00,0.00
2080.08,-52.32,0.00,0.00
2085.94,-52.08,0.00,0.00
2091.80,-51.87,0.00,0.00
2097.66,-51.70,0.00,0.00
2103.52,-51.57,0.00,0.00
2109.38,-51.48,0.00,0.00
2115.23,-51.43,0.00,0.00
2121.09,-51.42,0.00,0.00
2126.95,-51.45,0.00,0.00
2132.81,-51.51,0.00,0.00
2138.67,-51.60,0.00,0.00
2144.53,-51.70,0.00,0.00
2150.39,-51.82,0.00,0.00
2156.25,-51.95,0.00,0.00
2162.11,-52.07,0.00,0.00
2167.97,-52.19,0.00,0.00
2173.83,-52.29,0.00,0.00
2179.69,-52.37,0.00,0.00
2185.55,-52.42,0.00,0.00
2191.41,-52.43,0.00,0.00
2197.27,-52.41,0.00,0.00
2203.13,-52.34,0.00,0.00
2208.98,-52.25,0.00,0.00
2214.84,-52.12,0.00,0.00
2220.70,-51.98,0.00,0.00
2226.56,-51.82,0.00,0.00
2232.42,-51.66,0.00,0.00
2238.28,-51.50,0.00,0.00
2244.14,-51.34,0.00,0.00
2250.00,-51.19,0.00,0.00
2255.86,-51.06,0.00,0.00
2261.72,-50.94,0.00,0.00
2267.58,-50.83,0.00,0.00
2273.44,-50.74,0.00,0.00
2279.30,-50.67,0.00,0.00
2285.16,-50.61,0.00,0.00
2291.02,-50.57,0.00,0.00
2296.88,-50.56,0.00,0.00
2302.73,-50.56,0.00,0.00
2308.59,-50.59,0.00,0.00
2314.45,-50.65,0.00,0.00
2320.31,-50.74,0.00,0.00
2326.17,-50.86,0.00,0.00
2332.03,-51.00,0.00,0.00
2337.89,-51.16,0.00,0.00
2343.75,-51.32,0.00,0.00
2349.61,-51.50,0.00,0.00
2355.47,-51.70,0.00,0.00
2361.33,-51.92,0.00,0.00
2367.19,-52.17,0.00,0.00
2373.05,-52.43,0.00,0.00
2378.91,-52.69,0.00,0.00
2384.77,-52.95,0.00,0.00
2390.63,-53.22,0.00,0.00
2396.48,-53.48,0.00,0.00
2402.34,-53.74,0.00,0.00
2408.20,-53.99,0.00,0.00
2414.06,-54.22,0.00,0.00
2419.92,-54.44,0.00,0.00
2425.78,-54.64,0.00,0.00
2431.64,-54.83,0.00,0.00
2437.50,-55.00,0.00,0.00
2443.36,-55.15,0.00,0.00
2449.22,-55.29,0.00,0.00
2455.08,-55.41,0.00,0.00
2460.94,-55.50,0.00,0.00
2466.80,-55.58,0.00,0.00
2472.66,-55.64,0.00,0.00
2478.52,-55.68,0.00,0.00
2484.38,-55.70,0.00,0.00
2490.23,-55.70,0.00,0.00
2496.09,-55.69,0.00,0.00
2501.95,-55.65,0.00,0.00
2507.81,-55.60,0.00,0.00
2513.67,-55.54,0.00,0.00
2519.53,-55.47,0.00,0.00
2525.39,-55.39,0.00,0.00
2531.25,-55.30,0.00,0.00
2537.11,-55.23,0.00,0.00
2542.97,-55.17,0.00,0.00
2548.83,-55.08,0.00,0.00
2554.69,-54.96,0.00,0.00
2560.55,-54.86,0.00,0.00
2566.41,-54.79,0.00,0.00
2572.27,-54.75,0.00,0.00
2578.13,-54.73,0.00,0.00
2583.98,-54.71,0.00,0.00
2589.84,-54.70,0.00,0.00
2595.70,-54.68,0.00,0.00
2601.56,-54.68,0.00,0.00
2607.42,-54.70,0.00,0.00
2613.28,-54.73,0.00,0.00
2619.14,-54.78,0.00,0.00
2625.00,-54.84,0.00,0.00
2630.86,-54.90,0.00,0.00
2636.72,-54.86,0.00,0.00
2642.58,-54.94,0.00,0.00
2648.44,-55.11,0.00,0.00
2654.30,-55.22,0.00,0.00
2660.16,-55.31,0.00,0.00
2666.02,-55.39,0.00,0.00
2671.88,-55.45,0.00,0.00
2677.73,-55.49,0.00,0.00
2683.59,-55.51,0.00,0.00
2689.45,-55.50,0.00,0.00
2695.31,-55.46,0.00,0.00
2701.17,-55.38,0.00,0.00
2707.03,-55.31,0.00,0.00
2712.89,-55.25,0.00,0.00
2718.75,-55.16,0.00,0.00
2724.61,-55.06,0.00,0.00
2730.47,-54.95,0.00,0.00
2736.33,-54.84,0.00,0.00
2742.19,-54.73,0.00,0.00
2748.05,-54.62,0.00,0.00
2753.91,-54.52,0.00,0.00
2759.77,-54.42,0.00,0.00
2765.63,-54.34,0.00,0.00
2771.48,-54.27,0.00,0.00
2777.34,-54.22,0.00,0.00
2783.20,-54.18,0.00,0.00
2789.06,-54.15,0.00,0.00
2794.92,-54.14,0.00,0.00
