Hz,dBFS(rms),THD(%),BUZZ(%)
0.00,-64.14,0.00,0.00
5.86,-54.76,0.00,0.00
11.72,-56.95,0.00,0.00
17.58,-61.90,0.00,0.00
23.44,-62.19,0.00,0.00
29.30,-60.42,0.00,0.00
35.16,-61.94,0.00,0.00
41.02,-58.21,0.00,0.00
46.88,-57.32,0.00,0.00
52.73,-62.22,0.00,0.00
58.59,-62.38,0.00,0.00
64.45,-63.85,0.00,0.00
70.31,-66.67,0.00,0.00
76.17,-66.24,0.00,0.00
82.03,-65.30,0.00,0.00
87.89,-64.87,0.00,0.00
93.75,-66.05,0.00,0.00
99.61,-66.11,0.00,0.00
105.47,-64.15,0.00,0.00
111.33,-58.81,0.00,0.00
117.19,-49.96,0.00,0.00
123.05,-44.27,0.00,0.00
128.91,-41.46,1.70,0.59
134.77,-40.77,1.67,0.53
140.63,-40.29,1.42,0.39
146.48,-39.86,1.32,0.25
152.34,-39.14,1.40,0.26
158.20,-38.42,1.83,0.28
164.06,-38.21,2.05,0.25
169.92,-38.41,2.22,0.34
175.78,-38.48,2.29,0.38
181.64,-38.49,2.31,0.38
187.50,-38.91,2.62,0.39
193.36,-39.59,3.17,0.41
199.22,-40.30,3.80,0.44
205.08,-41.00,4.57,0.48
210.94,-41.83,5.50,0.52
216.80,-42.86,6.64,0.52
222.66,-43.84,8.07,0.52
228.52,-45.09,9.80,0.52
234.38,-46.33,12.04,0.54
240.23,-47.79,15.06,0.60
246.09,-49.72,19.21,0.72
251.95,-51.47,23.96,0.77
257.81,-52.88,28.28,0.83
263.67,-54.30,31.27,1.01
269.53,-56.08,33.09,1.18
275.39,-58.17,33.88,1.39
281.25,-59.62,32.40,1.52
287.11,-59.41,26.81,1.59
292.97,-58.27,0.00,0.00
298.83,-56.70,0.00,0.00
304.69,-55.01,0.00,0.00
310.55,-53.50,0.00,0.00
316.41,-52.22,0.00,0.00
322.27,-51.13,7.65,0.44
328.13,-50.22,7.03,0.40
333.98,-49.44,6.62,0.36
339.84,-48.77,6.27,0.31
345.70,-48.30,5.81,0.27
351.56,-47.69,5.12,0.22
357.42,-46.79,4.23,0.19
363.28,-45.84,3.42,0.17
369.14,-44.92,2.75,0.16
375.00,-43.99,2.22,0.15
380.86,-43.19,1.85,0.13
386.72,-42.67,1.61,0.10
392.58,-42.24,1.46,0.09
398.44,-41.89,1.36,0.08
404.30,-41.58,1.28,0.08
410.16,-41.35,1.19,0.07
416.02,-41.16,1.10,0.06
421.88,-40.94,1.02,0.06
427.73,-40.74,0.93,0.05
433.59,-40.53,0.84,0.05
439.45,-40.30,0.75,0.05
445.31,-40.10,0.73,0.05
451.17,-39.86,0.72,0.05
457.03,-39.63,0.74,0.04
462.89,-39.38,0.78,0.04
468.75,-39.13,0.82,0.04
474.61,-38.88,0.88,0.04
480.47,-38.58,0.96,0.04
486.33,-38.23,1.06,0.03
492.19,-37.89,1.16,0.03
498.05,-37.61,1.25,0.02
503.91,-37.41,1.33,0.02
509.77,-37.25,0.00,0.00
515.63,-37.16,0.00,0.00
521.48,-37.25,0.00,0.00
527.34,-37.57,1.35,0.02
533.20,-38.13,1.26,0.02
539.06,-38.87,1.15,0.03
544.92,-39.71,1.03,0.02
550.78,-40.58,0.94,0.03
556.64,-41.43,0.86,0.02
562.50,-42.19,0.78,0.02
568.36,-42.94,0.72,0.03
574.22,-43.66,0.69,0.04
580.08,-44.24,0.67,0.04
585.94,-44.65,0.65,0.04
591.80,-44.98,0.65,0.05
597.66,-45.23,0.65,0.05
603.52,-45.44,0.67,0.06
609.38,-45.54,0.70,0.04
615.23,-45.53,0.76,0.04
621.09,-45.42,0.84,0.03
626.95,-45.19,0.00,0.00
632.81,-44.83,0.94,0.03
638.67,-44.54,0.00,0.00
644.53,-44.30,0.00,0.00
650.39,-43.99,0.00,0.00
656.25,-43.74,0.00,0.00
662.11,-43.44,0.00,0.00
667.97,-43.11,0.98,0.02
673.83,-42.80,0.98,0.03
679.69,-42.57,0.98,0.02
685.55,-42.45,0.98,0.01
691.41,-42.35,0.98,0.01
697.27,-42.27,0.98,0.01
703.13,-42.28,0.96,0.01
708.98,-42.38,0.94,0.02
714.84,-42.52,0.92,0.02
720.70,-42.72,0.91,0.01
726.56,-42.91,0.88,0.08
732.42,-43.09,0.85,0.02
738.28,-43.29,0.83,0.01
744.14,-43.48,0.82,0.02
750.00,-43.66,0.00,0.00
755.86,-43.86,0.78,0.03
761.72,-44.11,0.78,0.08
767.58,-44.32,0.77,0.02
773.44,-44.46,0.75,0.01
779.30,-44.57,0.75,0.01
785.16,-44.68,0.76,0.01
791.02,-44.77,0.76,0.01
796.88,-44.79,0.77,0.01
802.73,-44.81,0.78,0.02
808.59,-44.84,0.79,0.02
814.45,-44.86,0.79,0.02
820.31,-44.91,0.79,0.02
826.17,-44.97,0.76,0.02
832.03,-45.08,0.74,0.01
837.89,-45.18,0.71,0.01
843.75,-45.29,0.70,0.08
849.61,-45.46,0.70,0.01
855.47,-45.63,0.00,0.00
861.33,-45.81,0.00,0.00
867.19,-46.04,0.00,0.00
873.05,-46.32,0.00,0.00
878.91,-46.63,0.54,0.01
884.77,-46.97,0.49,0.02
890.63,-47.33,0.43,0.08
896.48,-47.71,0.00,0.00
902.34,-48.13,0.00,0.00
908.20,-48.55,0.00,0.00
914.06,-48.96,0.00,0.00
919.92,-49.34,0.48,0.02
925.78,-49.70,0.46,0.03
931.64,-50.10,0.00,0.00
937.50,-50.54,0.00,0.00
943.36,-51.02,0.00,0.00
949.22,-51.55,0.00,0.00
955.08,-52.10,0.00,0.00
960.94,-52.67,0.00,0.00
966.80,-53.24,0.00,0.00
972.66,-53.84,0.00,0.00
978.52,-54.49,0.00,0.00
984.38,-55.18,0.79,0.10
990.23,-55.92,0.81,0.12
996.09,-56.71,0.79,0.13
1001.95,-57.53,0.78,0.16
1007.81,-58.41,0.00,0.00
1013.67,-59.33,0.00,0.00
1019.53,-60.30,0.00,0.00
1025.39,-61.32,0.00,0.00
1031.25,-62.38,0.00,0.00
1037.11,-63.48,0.00,0.00
1042.97,-64.63,0.00,0.00
1048.83,-65.83,0.00,0.00
1054.69,-67.16,0.00,0.00
1060.55,-68.66,0.00,0.00
1066.41,-70.29,0.00,0.00
1072.27,-71.49,0.00,0.00
1078.13,-70.46,0.00,0.00
1083.98,-68.87,0.00,0.00
1089.84,-67.31,0.00,0.00
1095.70,-65.89,0.00,0.00
1101.56,-64.62,0.00,0.00
1107.42,-63.53,0.00,0.00
1113.28,-62.61,0.00,0.00
1119.14,-61.79,0.00,0.00
1125.00,-61.00,0.00,0.00
1130.86,-60.24,0.00,0.00
1136.72,-59.57,0.00,0.00
1142.58,-58.96,0.00,0.00
1148.44,-58.34,0.00,0.00
1154.30,-57.83,0.00,0.00
1160.16,-57.32,0.00,0.00
1166.02,-56.85,0.00,0.00
1171.88,-56.42,0.00,0.00
1177.73,-56.03,0.00,0.00
1183.59,-55.66,0.00,0.00
1189.45,-55.31,0.00,0.00
1195.31,-54.99,0.00,0.00
1201.17,-54.69,0.00,0.00
1207.03,-54.34,0.00,0.00
1212.89,-53.97,0.00,0.00
1218.75,-53.58,0.00,0.00
1224.61,-53.18,0.00,0.00
1230.47,-52.79,0.00,0.00
1236.33,-52.42,0.00,0.00
1242.19,-52.06,0.00,0.00
1248.05,-51.72,0.00,0.00
1253.91,-51.43,0.00,0.00
1259.77,-51.23,0.00,0.00
1265.63,-51.10,0.00,0.00
1271.48,-51.04,0.00,0.00
1277.34,-51.05,0.00,0.00
1283.20,-51.11,0.00,0.00
1289.06,-51.20,0.00,0.00
1294.92,-51.35,0.00,0.00
1300.78,-51.53,0.00,0.00
1306.64,-51.71,0.68,0.02
1312.50,-51.88,0.63,0.02
1318.36,-52.01,0.56,0.02
1324.22,-52.12,0.00,0.00
1330.08,-52.18,0.00,0.00
1335.94,-52.18,0.00,0.00
1341.80,-52.12,0.00,0.00
1347.66,-52.03,0.00,0.00
1353.52,-51.92,0.00,0.00
1359.38,-51.81,0.00,0.00
1365.23,-51.75,0.00,0.00
1371.09,-51.69,1.05,0.04
1376.95,-51.68,0.00,0.00
1382.81,-51.73,0.00,0.00
1388.67,-51.85,0.00,0.00
1394.53,-52.04,0.00,0.00
1400.39,-52.30,0.89,0.06
1406.25,-52.60,0.80,0.06
1412.11,-52.93,0.00,0.00
1417.97,-53.35,0.00,0.00
1423.83,-53.83,0.00,0.00
1429.69,-54.29,0.00,0.00
1435.55,-54.69,0.00,0.00
1441.41,-55.07,0.00,0.00
1447.27,-55.44,0.00,0.00
1453.13,-55.73,0.00,0.00
1458.98,-55.74,0.00,0.00
1464.84,-55.50,0.00,0.00
1470.70,-55.15,0.00,0.00
1476.56,-54.73,0.00,0.00
1482.42,-54.26,0.00,0.00
1488.28,-53.78,0.00,0.00
1494.14,-53.36,0.00,0.00
1500.00,-52.96,0.00,0.00
1505.86,-52.62,0.00,0.00
1511.72,-52.39,0.00,0.00
1517.58,-52.25,0.84,0.03
1523.44,-52.21,0.80,0.02
1529.30,-52.22,0.00,0.00
1535.16,-52.19,0.00,0.00
1541.02,-52.15,0.00,0.00
1546.88,-52.07,0.00,0.00
1552.73,-51.93,0.00,0.00
1558.59,-51.75,0.51,0.02
1564.45,-51.54,0.00,0.00
1570.31,-51.36,0.00,0.00
