Hz,dBFS(rms),THD(%),BUZZ(%)
0.00,-53.63,0.00,0.00,slices,1915
5.86,-49.26,0.00,0.00,ffts,1915
11.72,-51.73,0.00,0.00
17.58,-47.08,0.00,0.00
23.44,-46.41,0.00,0.00
29.30,-51.71,0.00,0.00
35.16,-53.33,0.00,0.00
41.02,-53.56,0.00,0.00
46.88,-47.54,0.00,0.00
52.73,-48.44,0.00,0.00
58.59,-56.24,0.00,0.00
64.45,-57.54,0.00,0.00
70.31,-59.67,0.00,0.00
76.17,-61.73,0.00,0.00
82.03,-63.19,0.00,0.00
87.89,-64.41,0.00,0.00
93.75,-64.62,0.00,0.00
99.61,-63.86,0.00,0.00
105.47,-63.69,0.00,0.00
111.33,-65.01,0.00,0.00
117.19,-65.64,0.00,0.00
123.05,-65.64,0.00,0.00
128.91,-66.20,0.00,0.00
134.77,-67.26,0.00,0.00
140.63,-68.10,0.00,0.00
146.48,-67.81,0.00,0.00
152.34,-67.86,0.00,0.00
158.20,-68.89,0.00,0.00
164.06,-69.37,0.00,0.00
169.92,-69.08,0.00,0.00
175.78,-70.24,0.00,0.00
181.64,-71.93,0.00,0.00
187.50,-72.52,0.00,0.00
193.36,-72.56,0.00,0.00
199.22,-72.80,0.00,0.00
205.08,-73.34,0.00,0.00
210.94,-73.20,0.00,0.00
216.80,-73.40,0.00,0.00
222.66,-73.77,0.00,0.00
228.52,-74.31,0.00,0.00
234.38,-74.59,0.00,0.00
240.23,-75.10,0.00,0.00
246.09,-75.47,0.00,0.00
251.95,-75.67,0.00,0.00
257.81,-75.91,0.00,0.00
263.67,-76.31,0.00,0.00
269.53,-76.43,0.00,0.00
275.39,-76.75,0.00,0.00
281.25,-77.21,0.00,0.00
287.11,-77.43,0.00,0.00
292.97,-77.68,0.00,0.00
298.83,-77.73,0.00,0.00
304.69,-77.96,0.00,0.00
310.55,-78.72,0.00,0.00
316.41,-78.96,0.00,0.00
322.27,-79.36,0.00,0.00
328.13,-79.75,0.00,0.00
333.98,-80.28,0.00,0.00
339.84,-80.61,0.00,0.00
345.70,-81.15,0.00,0.00
351.56,-81.56,0.00,0.00
357.42,-81.70,0.00,0.00
363.28,-82.90,0.00,0.00
369.14,-83.76,0.00,0.00
375.00,-84.29,0.00,0.00
380.86,-85.40,0.00,0.00
386.72,-86.10,0.00,0.00
392.58,-86.76,0.00,0.00
398.44,-86.93,0.00,0.00
404.30,-87.82,0.00,0.00
410.16,-88.56,0.00,0.00
416.02,-89.10,0.00,0.00
421.88,-89.78,0.00,0.00
427.73,-90.23,0.00,0.00
433.59,-91.12,0.00,0.00
439.45,-92.10,0.00,0.00
445.31,-92.76,0.00,0.00
451.17,-93.64,0.00,0.00
457.03,-93.48,0.00,0.00
462.89,-94.24,0.00,0.00
468.75,-95.30,0.00,0.00
474.61,-96.18,0.00,0.00
480.47,-96.71,0.00,0.00
486.33,-96.75,0.00,0.00
492.19,-96.13,0.00,0.00
498.05,-93.76,0.00,0.00
503.91,-93.85,0.00,0.00
509.77,-94.79,0.00,0.00
515.63,-94.21,0.00,0.00
521.48,-94.18,0.00,0.00
527.34,-93.70,0.00,0.00
533.20,-92.88,0.00,0.00
539.06,-92.21,0.00,0.00
544.92,-91.53,0.00,0.00
550.78,-90.98,0.00,0.00
556.64,-91.40,0.00,0.00
562.50,-91.58,0.00,0.00
568.36,-91.60,0.00,0.00
574.22,-91.60,0.00,0.00
580.08,-91.15,0.00,0.00
585.94,-91.01,0.00,0.00
591.80,-90.99,0.00,0.00
597.66,-90.51,0.00,0.00
603.52,-90.41,0.00,0.00
609.38,-89.67,0.00,0.00
615.23,-89.20,0.00,0.00
621.09,-89.28,0.00,0.00
626.95,-89.58,0.00,0.00
632.81,-89.41,0.00,0.00
638.67,-89.54,0.00,0.00
644.53,-89.41,0.00,0.00
650.39,-88.95,0.00,0.00
656.25,-88.69,0.00,0.00
662.11,-88.66,0.00,0.00
667.97,-88.66,0.00,0.00
673.83,-88.49,0.00,0.00
679.69,-87.96,0.00,0.00
685.55,-87.63,0.00,0.00
691.41,-87.26,0.00,0.00
697.27,-87.04,0.00,0.00
703.13,-87.15,0.00,0.00
708.98,-87.07,0.00,0.00
714.84,-86.60,0.00,0.00
720.70,-86.19,0.00,0.00
726.56,-86.01,0.00,0.00
732.42,-85.63,0.00,0.00
738.28,-85.73,0.00,0.00
744.14,-85.72,0.00,0.00
750.00,-85.21,0.00,0.00
755.86,-84.88,0.00,0.00
761.72,-84.81,0.00,0.00
767.58,-84.70,0.00,0.00
773.44,-84.50,0.00,0.00
779.30,-84.53,0.00,0.00
785.16,-84.68,0.00,0.00
791.02,-84.54,0.00,0.00
796.88,-84.41,0.00,0.00
