Hz,dBFS(rms),THD(%),BUZZ(%)
0.00,-58.36,0.00,0.00,slices,4873
3.91,-50.37,0.00,0.00,ffts,4873
7.81,-51.30,0.00,0.00
11.72,-53.93,0.00,0.00
15.63,-48.42,0.00,0.00
19.53,-45.71,0.00,0.00
23.44,-49.99,0.00,0.00
27.34,-58.75,0.00,0.00
31.25,-60.57,0.00,0.00
35.16,-60.56,0.00,0.00
39.06,-61.57,0.00,0.00
42.97,-58.98,0.00,0.00
46.88,-55.16,0.00,0.00
50.78,-54.25,0.00,0.00
54.69,-57.26,0.00,0.00
58.59,-58.19,0.00,0.00
62.50,-59.59,0.00,0.00
66.41,-59.17,0.00,0.00
70.31,-63.93,0.00,0.00
74.22,-68.50,0.00,0.00
78.13,-70.29,0.00,0.00
82.03,-70.50,0.00,0.00
85.94,-71.17,0.00,0.00
89.84,-73.48,0.00,0.00
93.75,-71.55,0.00,0.00
97.66,-70.03,0.00,0.00
101.56,-69.96,0.00,0.00
105.47,-69.97,0.00,0.00
109.38,-67.52,0.00,0.00
113.28,-63.97,0.00,0.00
117.19,-59.40,0.00,0.00
121.09,-54.88,0.00,0.00
125.00,-50.99,0.00,0.00
128.91,-48.84,0.00,0.00
132.81,-48.52,0.01,0.00
136.72,-47.74,0.01,0.00
140.63,-47.12,0.01,0.00
144.53,-46.96,0.01,0.00
148.44,-46.62,0.01,0.00
152.34,-46.24,0.00,0.00
156.25,-45.84,0.00,0.00
160.16,-45.31,0.00,0.00
164.06,-44.82,0.01,0.00
167.97,-44.43,0.01,0.00
171.88,-44.12,0.01,0.00
175.78,-43.90,0.01,0.00
179.69,-43.75,0.01,0.00
183.59,-43.63,0.01,0.00
187.50,-43.58,0.00,0.00
191.41,-43.56,0.00,0.00
195.31,-43.55,0.00,0.00
199.22,-43.52,0.01,0.00
203.13,-43.71,0.01,0.00
207.03,-43.95,0.01,0.00
210.94,-44.15,0.01,0.00
214.84,-44.39,0.01,0.00
218.75,-44.64,0.01,0.00
222.66,-44.89,0.01,0.00
226.56,-45.17,0.01,0.00
230.47,-45.46,0.01,0.00
234.38,-45.76,0.01,0.00
238.28,-46.08,0.02,0.00
242.19,-46.43,0.01,0.00
246.09,-46.79,0.02,0.00
250.00,-47.18,0.02,0.00
253.91,-47.58,0.02,0.00
257.81,-47.99,0.02,0.00
261.72,-48.49,0.02,0.00
265.63,-49.08,0.02,0.00
269.53,-49.66,0.02,0.00
273.44,-50.34,0.02,0.00
277.34,-51.04,0.02,0.00
281.25,-51.84,0.02,0.00
285.16,-52.67,0.02,0.00
289.06,-53.61,0.02,0.00
292.97,-54.59,0.01,0.00
296.88,-55.63,0.01,0.00
300.78,-56.74,0.00,0.00
304.69,-57.85,0.00,0.00
308.59,-58.89,0.00,0.00
312.50,-59.68,0.00,0.00
316.41,-60.12,0.00,0.00
320.31,-60.12,0.00,0.00
324.22,-59.74,0.00,0.00
328.13,-59.09,0.00,0.00
332.03,-58.35,0.00,0.00
335.94,-57.59,0.00,0.00
339.84,-56.84,0.00,0.00
343.75,-56.14,0.00,0.00
347.66,-55.49,0.00,0.00
351.56,-54.91,0.00,0.00
355.47,-54.37,0.00,0.00
359.38,-53.86,0.00,0.00
363.28,-53.43,0.00,0.00
367.19,-53.03,0.00,0.00
371.09,-52.65,0.00,0.00
375.00,-52.31,0.00,0.00
378.91,-51.99,0.00,0.00
382.81,-51.68,0.00,0.00
386.72,-51.39,0.00,0.00
390.63,-51.13,0.00,0.00
394.53,-50.90,0.00,0.00
398.44,-50.63,0.00,0.00
402.34,-50.41,0.00,0.00
406.25,-50.17,0.00,0.00
