Hz,dBFS(rms),THD(%),BUZZ(%)
0.00,-31.19,0.00,0.00
5.86,-31.16,0.00,0.00
11.72,-62.91,0.00,0.00
17.58,-61.67,0.00,0.00
23.44,-59.56,0.00,0.00
29.30,-56.76,0.00,0.00
35.16,-57.29,0.00,0.00
41.02,-52.93,0.00,0.00
46.88,-52.48,0.00,0.00
52.73,-57.94,0.00,0.00
58.59,-57.44,0.00,0.00
64.45,-58.41,0.00,0.00
70.31,-61.58,0.00,0.00
76.17,-61.65,0.00,0.00
82.03,-59.25,0.00,0.00
87.89,-59.55,0.00,0.00
93.75,-62.60,0.00,0.00
99.61,-63.91,0.00,0.00
105.47,-62.84,0.00,0.00
111.33,-56.01,0.00,0.00
117.19,-45.86,0.00,0.00
123.05,-44.53,0.00,0.00
128.91,-48.23,0.00,0.00
134.77,-48.01,0.00,0.00
140.63,-47.72,0.00,0.00
146.48,-47.95,0.00,0.00
152.34,-47.49,0.00,0.00
158.20,-46.84,0.00,0.00
164.06,-46.66,0.00,0.00
169.92,-46.82,0.00,0.00
175.78,-46.76,0.00,0.00
181.64,-46.99,0.00,0.00
187.50,-47.96,0.00,0.00
193.36,-48.69,0.00,0.00
199.22,-49.25,0.00,0.00
205.08,-50.06,0.00,0.00
210.94,-50.95,0.00,0.00
216.80,-51.80,0.00,0.00
222.66,-52.47,0.00,0.00
228.52,-53.37,0.00,0.00
234.38,-53.79,0.00,0.00
240.23,-54.03,0.00,0.00
246.09,-54.26,0.00,0.00
251.95,-53.62,0.00,0.00
257.81,-52.82,0.00,0.00
263.67,-52.44,0.00,0.00
269.53,-52.07,0.00,0.00
275.39,-51.50,0.00,0.00
281.25,-50.89,0.00,0.00
287.11,-50.53,0.00,0.00
292.97,-50.27,0.00,0.00
298.83,-49.84,0.00,0.00
304.69,-49.39,0.00,0.00
310.55,-48.96,0.00,0.00
316.41,-48.49,0.00,0.00
322.27,-48.01,0.00,0.00
328.13,-47.52,0.00,0.00
333.98,-46.99,0.00,0.00
339.84,-46.47,0.00,0.00
345.70,-46.00,0.00,0.00
351.56,-45.42,0.00,0.00
357.42,-44.96,0.00,0.00
363.28,-44.84,0.00,0.00
369.14,-45.08,0.00,0.00
375.00,-45.56,0.00,0.00
380.86,-46.36,0.00,0.00
386.72,-47.45,0.00,0.00
392.58,-48.70,0.00,0.00
398.44,-49.96,0.00,0.00
404.30,-51.28,0.00,0.00
410.16,-52.51,0.00,0.00
