Hz,dBFS(rms),THD(%),BUZZ(%)
0.00,-31.14,0.00,0.00
5.86,-31.09,0.00,0.00
11.72,-56.74,0.00,0.00
17.58,-55.60,0.00,0.00
23.44,-52.92,0.00,0.00
29.30,-50.56,0.00,0.00
35.16,-50.44,0.00,0.00
41.02,-46.17,0.00,0.00
46.88,-46.12,0.00,0.00
52.73,-50.46,0.00,0.00
58.59,-48.49,0.00,0.00
64.45,-49.34,0.00,0.00
70.31,-53.68,0.00,0.00
76.17,-53.46,0.00,0.00
82.03,-52.48,0.00,0.00
87.89,-52.73,0.00,0.00
93.75,-54.21,0.00,0.00
99.61,-55.93,0.00,0.00
105.47,-57.99,0.00,0.00
111.33,-52.90,0.00,0.00
117.19,-40.72,0.00,0.00
123.05,-41.07,0.00,0.00
128.91,-54.85,0.00,0.00
134.77,-57.13,0.00,0.00
140.63,-55.28,0.00,0.00
146.48,-61.27,0.00,0.00
152.34,-63.41,0.00,0.00
158.20,-63.34,0.00,0.00
164.06,-65.92,0.00,0.00
169.92,-67.11,0.00,0.00
175.78,-62.02,0.00,0.00
181.64,-60.35,0.00,0.00
187.50,-64.16,0.00,0.00
193.36,-62.85,0.00,0.00
199.22,-63.07,0.00,0.00
205.08,-64.00,0.00,0.00
210.94,-64.13,0.00,0.00
216.80,-64.75,0.00,0.00
222.66,-65.88,0.00,0.00
228.52,-67.00,0.00,0.00
234.38,-65.78,0.00,0.00
240.23,-62.46,0.00,0.00
246.09,-66.87,0.00,0.00
251.95,-67.85,0.00,0.00
257.81,-67.02,0.00,0.00
263.67,-67.55,0.00,0.00
269.53,-67.34,0.00,0.00
275.39,-66.13,0.00,0.00
281.25,-66.27,0.00,0.00
287.11,-68.16,0.00,0.00
292.97,-69.83,0.00,0.00
298.83,-69.21,0.00,0.00
304.69,-70.12,0.00,0.00
310.55,-71.76,0.00,0.00
316.41,-71.87,0.00,0.00
322.27,-72.55,0.00,0.00
328.13,-72.64,0.00,0.00
333.98,-71.73,0.00,0.00
339.84,-72.17,0.00,0.00
345.70,-72.26,0.00,0.00
351.56,-71.66,0.00,0.00
357.42,-69.13,0.00,0.00
363.28,-69.69,0.00,0.00
369.14,-70.79,0.00,0.00
375.00,-69.90,0.00,0.00
380.86,-69.96,0.00,0.00
386.72,-71.16,0.00,0.00
392.58,-70.62,0.00,0.00
398.44,-69.93,0.00,0.00
404.30,-70.52,0.00,0.00
410.16,-70.95,0.00,0.00
416.02,-70.42,0.00,0.00
421.88,-70.61,0.00,0.00
427.73,-71.06,0.00,0.00
433.59,-67.49,0.00,0.00
439.45,-64.45,0.00,0.00
445.31,-69.31,0.00,0.00
451.17,-71.73,0.00,0.00
457.03,-71.88,0.00,0.00
462.89,-71.23,0.00,0.00
468.75,-72.14,0.00,0.00
474.61,-72.24,0.00,0.00
480.47,-72.11,0.00,0.00
486.33,-71.73,0.00,0.00
492.19,-71.42,0.00,0.00
498.05,-70.95,0.00,0.00
503.91,-70.74,0.00,0.00
509.77,-70.42,0.00,0.00
515.63,-69.70,0.00,0.00
521.48,-66.08,0.00,0.00
527.34,-66.43,0.00,0.00
533.20,-69.02,0.00,0.00
539.06,-68.69,0.00,0.00
544.92,-68.28,0.00,0.00
550.78,-67.86,0.00,0.00
556.64,-67.25,0.00,0.00
562.50,-66.73,0.00,0.00
568.36,-66.02,0.00,0.00
574.22,-64.92,0.00,0.00
580.08,-64.21,0.00,0.00
585.94,-63.49,0.00,0.00
591.80,-62.64,0.00,0.00
597.66,-61.62,0.00,0.00
603.52,-60.67,0.00,0.00
609.38,-59.91,0.00,0.00
615.23,-59.05,0.00,0.00
621.09,-58.13,0.00,0.00
626.95,-57.09,0.00,0.00
632.81,-56.14,0.00,0.00
638.67,-55.10,0.00,0.00
644.53,-53.86,0.00,0.00
650.39,-52.44,0.00,0.00
656.25,-50.69,0.00,0.00
662.11,-48.47,0.00,0.00
667.97,-45.51,0.00,0.00
673.83,-41.08,0.00,0.00
679.69,-33.21,0.00,0.00
685.55,-6.93,0.00,0.00
691.41,0.31,0.00,0.00
