[SWEEP]
Header=*FR,*THD,*R&B
Unit=dB,%,%

[FR]
Oactaves,12
Harmonic Ranges,,
Range,Start Freq,End Freq,Upper Limit,Lower Limit
Range 1,100,250,-30,-90
Range 2,250,600,-30,-90
Range 3,600,1500,-30,-68
Range 4,1500,2500,-30,-70
Range 5,2500,4500,-30,-70
Range 6,4500,5000,-30,-75
Range 7,5000,6600,-30,-95
Range 8,6600,10000,-30,-95
Range 9,10000,12000,-30,-95
Range 10,12000,15000,-35,-110
Hz,dBFS(rms),Upper Limit,Lower Limit
0,-61.9,-30,-90
3.91,-54.17,-30,-90
7.81,-52.33,-30,-90
11.72,-53.31,-30,-90
15.63,-51.42,-30,-90
19.53,-47.45,-30,-90
23.44,-50.92,-30,-90
27.34,-56.34,-30,-90
31.25,-53.25,-30,-90
35.16,-54.47,-30,-90
39.06,-58.31,-30,-90
42.97,-55.78,-30,-90
46.88,-51.23,-30,-90
50.78,-50.61,-30,-90
54.69,-58.4,-30,-90
58.59,-61.31,-30,-90
62.5,-62.41,-30,-90
66.41,-63.06,-30,-90
70.31,-64.93,-30,-90
74.22,-67.84,-30,-90
78.13,-69.3,-30,-90
82.03,-71.15,-30,-90
85.94,-71.11,-30,-90
89.84,-71.35,-30,-90
93.75,-71.67,-30,-90
97.66,-71.02,-30,-90
101.56,-69.35,-30,-90
105.47,-68,-30,-90
109.38,-65.62,-30,-90
113.28,-61.11,-30,-90
117.19,-59.42,-30,-90
121.09,-56.03,-30,-90
125,-52.02,-30,-90
128.91,-49.22,-30,-90
132.81,-48.15,-30,-90
136.72,-47.62,-30,-90
140.63,-46.58,-30,-90
144.53,-46.54,-30,-90
148.44,-46.06,-30,-90
152.34,-45.65,-30,-90
156.25,-45.19,-30,-90
160.16,-44.72,-30,-90
164.06,-44.31,-30,-90
167.97,-44,-30,-90
171.88,-43.72,-30,-90
175.78,-43.5,-30,-90
179.69,-43.33,-30,-90
183.59,-43.19,-30,-90
187.5,-43.11,-30,-90
191.41,-43.06,-30,-90
195.31,-43.04,-30,-90
199.22,-43.05,-30,-90
203.13,-43.13,-30,-90
207.03,-43.27,-30,-90
210.94,-43.46,-30,-90
214.84,-43.68,-30,-90
218.75,-43.88,-30,-90
222.66,-44.08,-30,-90
226.56,-44.24,-30,-90
230.47,-44.39,-30,-90
234.38,-44.55,-30,-90
238.28,-44.71,-30,-90
242.19,-44.85,-30,-90
246.09,-45.01,-30,-90
250,-45.18,-30,-90
253.91,-45.39,-30,-90
257.81,-45.67,-30,-90
261.72,-45.95,-30,-90
265.63,-46.25,-30,-90
269.53,-46.61,-30,-90
273.44,-46.95,-30,-90
277.34,-47.35,-30,-90
281.25,-47.72,-30,-90
285.16,-48.1,-30,-90
289.06,-48.48,-30,-90
292.97,-48.93,-30,-90
296.88,-49.42,-30,-90
300.78,-49.98,-30,-90
304.69,-50.62,-30,-90
308.59,-51.34,-30,-90
312.5,-52.14,-30,-90
316.41,-53.04,-30,-90
320.31,-54.06,-30,-90
324.22,-55.19,-30,-90
328.13,-56.45,-30,-90
332.03,-57.84,-30,-90
335.94,-59.39,-30,-90
339.84,-61.14,-30,-90
343.75,-63.2,-30,-90
347.66,-65.59,-30,-90
351.56,-68.26,-30,-90
355.47,-70.99,-30,-90
359.38,-72.52,-30,-90
363.28,-71.71,-30,-90
367.19,-70.05,-30,-90
371.09,-68.58,-30,-90
375,-67.3,-30,-90
378.91,-66.01,-30,-90
382.81,-64.73,-30,-90
386.72,-63.51,-30,-90
390.63,-62.36,-30,-90
394.53,-61.18,-30,-90
398.44,-60.15,-30,-90
402.34,-59.29,-30,-90
406.25,-58.41,-30,-90
410.16,-57.71,-30,-90
414.06,-57.05,-30,-90
417.97,-56.48,-30,-90
421.88,-55.93,-30,-90
425.78,-55.47,-30,-90
429.69,-55.03,-30,-90
433.59,-54.65,-30,-90
437.5,-54.29,-30,-90
441.41,-53.97,-30,-90
445.31,-53.7,-30,-90
449.22,-53.46,-30,-90
453.13,-53.25,-30,-90
457.03,-53.06,-30,-90
460.94,-52.89,-30,-90
464.84,-52.73,-30,-90
468.75,-52.56,-30,-90
472.66,-52.41,-30,-90
476.56,-52.29,-30,-90
480.47,-52.2,-30,-90
484.38,-52.12,-30,-90
488.28,-52.09,-30,-90
492.19,-52.07,-30,-90
496.09,-52.07,-30,-90
500,-52.08,-30,-90
503.91,-52.1,-30,-90
507.81,-52.13,-30,-90
511.72,-52.17,-30,-90
515.63,-52.18,-30,-90
519.53,-52.15,-30,-90
523.44,-52.13,-30,-90
527.34,-52.1,-30,-90
531.25,-52.03,-30,-90
535.16,-51.97,-30,-90
539.06,-51.9,-30,-90
542.97,-51.79,-30,-90
546.88,-51.7,-30,-90
550.78,-51.57,-30,-90
554.69,-51.44,-30,-90
558.59,-51.27,-30,-90
562.5,-51.13,-30,-90
566.41,-50.99,-30,-90
570.31,-50.87,-30,-90
574.22,-50.74,-30,-90
578.13,-50.6,-30,-90
582.03,-50.47,-30,-90
585.94,-50.35,-30,-90
589.84,-50.25,-30,-90
593.75,-50.17,-30,-90
597.66,-50.09,-30,-90
601.56,-50.02,-30,-68
605.47,-49.96,-30,-68
609.38,-49.92,-30,-68
613.28,-49.88,-30,-68
617.19,-49.85,-30,-68
621.09,-49.84,-30,-68
625,-49.87,-30,-68
628.91,-49.9,-30,-68
632.81,-49.92,-30,-68
636.72,-49.95,-30,-68
640.63,-49.97,-30,-68
644.53,-50.01,-30,-68
648.44,-50.07,-30,-68
652.34,-50.12,-30,-68
656.25,-50.13,-30,-68
660.16,-50.17,-30,-68
664.06,-50.21,-30,-68
667.97,-50.22,-30,-68
671.88,-50.23,-30,-68
675.78,-50.22,-30,-68
679.69,-50.2,-30,-68
683.59,-50.18,-30,-68
687.5,-50.13,-30,-68
