[SWEEP]
Header=*FR,*THD,*R&B
Unit=dB,%,%

[FR]
Oactaves,12
Harmonic Ranges,,
Range,Start Freq,End Freq,Upper Limit,Lower Limit
Range 1,100,500,-15,-85
Range 2,500,1000,-25,-80
Range 3,1000,1400,-35,-80
Range 4,1400,3700,-35,-80
Range 5,3700,4400,-35,-80
Range 6,4400,5500,-35,-80
Range 7,5500,7000,-40,-85
Range 8,8000,13000,-40,-110
Range 9,13000,14700,-40,-120
Range 10,14700,15000,-60,-130
Hz,dBFS(rms),Upper Limit,Lower Limit
0,-57.19,-15,-85
5.86,-48.9,-15,-85
11.72,-50.88,-15,-85
17.58,-53.91,-15,-85
23.44,-55,-15,-85
29.3,-56.54,-15,-85
35.16,-59.02,-15,-85
41.02,-60.5,-15,-85
46.88,-60.69,-15,-85
52.73,-60.82,-15,-85
58.59,-60.14,-15,-85
64.45,-61.32,-15,-85
70.31,-62.43,-15,-85
76.17,-62.98,-15,-85
82.03,-65.02,-15,-85
87.89,-66.53,-15,-85
93.75,-65.58,-15,-85
99.61,-64.37,-15,-85
105.47,-61.6,-15,-85
111.33,-55.97,-15,-85
117.19,-47.59,-15,-85
123.05,-42.82,-15,-85
128.91,-41.5,-15,-85
134.77,-41.8,-15,-85
140.63,-40.94,-15,-85
146.48,-40.84,-15,-85
152.34,-40.34,-15,-85
158.2,-39.49,-15,-85
164.06,-38.78,-15,-85
169.92,-38,-15,-85
175.78,-37.13,-15,-85
181.64,-36.33,-15,-85
187.5,-35.39,-15,-85
193.36,-34.68,-15,-85
199.22,-34.77,-15,-85
205.08,-35.04,-15,-85
210.94,-34.53,-15,-85
216.8,-34.45,-15,-85
222.66,-34.18,-15,-85
228.52,-34.27,-15,-85
234.38,-34.39,-15,-85
240.23,-34.02,-15,-85
246.09,-33.79,-15,-85
251.95,-33.72,-15,-85
257.81,-33.67,-15,-85
263.67,-33.6,-15,-85
269.53,-33.35,-15,-85
275.39,-33.67,-15,-85
281.25,-33.17,-15,-85
287.11,-32.96,-15,-85
292.97,-33.38,-15,-85
