[SWEEP]
Header=*FR,*THD,*R&B
Unit=dB,%,%

[FR]
Oactaves,12
Harmonic Ranges,,
Range,Start Freq,End Freq,Upper Limit,Lower Limit
Range 1,100,300,-10,-180
Range 2,1000,1600,-60,-180
Range 3,1600,1700,-65,-180
Range 4,1900,2800,-70,-180
Range 5,3999,4002,-80,-180
Range 6,5600,6700,-90,-180
Range 7,6700,7500,-90,-180
Range 8,9500,11000,-90,-180
Range 9,11000,12000,-90,-180
Range 10,15000,16000,-90,-180
Hz,dBFS(rms),Upper Limit,Lower Limit
0,-62.12,-10,-180
5.86,-52.21,-10,-180
11.72,-54.83,-10,-180
17.58,-62.76,-10,-180
23.44,-65.32,-10,-180
29.3,-64.84,-10,-180
35.16,-65.13,-10,-180
41.02,-60.37,-10,-180
46.88,-60.04,-10,-180
52.73,-63.89,-10,-180
58.59,-63.49,-10,-180
64.45,-64.89,-10,-180
70.31,-70.16,-10,-180
76.17,-67.08,-10,-180
82.03,-65.64,-10,-180
87.89,-68.81,-10,-180
93.75,-67.32,-10,-180
99.61,-62.82,-10,-180
105.47,-60.92,-10,-180
111.33,-66.47,-10,-180
117.19,-59.87,-10,-180
123.05,-59.94,-10,-180
128.91,-68.54,-10,-180
134.77,-71.04,-10,-180
140.63,-72.77,-10,-180
146.48,-72.62,-10,-180
152.34,-69.68,-10,-180
158.2,-69.92,-10,-180
164.06,-73.49,-10,-180
169.92,-73.17,-10,-180
175.78,-70.66,-10,-180
181.64,-70.82,-10,-180
187.5,-69.5,-10,-180
193.36,-65.2,-10,-180
199.22,-56.22,-10,-180
205.08,-41.94,-10,-180
210.94,-41.21,-10,-180
216.8,-53.23,-10,-180
222.66,-66.88,-10,-180
228.52,-73.46,-10,-180
234.38,-68.86,-10,-180
240.23,-64.61,-10,-180
246.09,-70.37,-10,-180
251.95,-77.09,-10,-180
257.81,-78.04,-10,-180
263.67,-78.35,-10,-180
269.53,-78.09,-10,-180
275.39,-75.99,-10,-180
281.25,-75.28,-10,-180
287.11,-75.21,-10,-180
292.97,-76.7,-10,-180
298.83,-78.66,-10,-180
304.69,-78.25,-10.4202162751341,-180
310.55,-75.99,-10.8404325502682,-180
316.41,-77.32,-11.2606488254023,-180
322.27,-82.32,-11.6808651005364,-180
328.13,-83.17,-12.1003642830508,-180
333.98,-83,-12.5205805581849,-180
