[SWEEP]
Header=*FR,*THD,*R&B
Unit=dB,%,%

[FR]
Oactaves,12
Harmonic Ranges,,
Range,Start Freq,End Freq,Upper Limit,Lower Limit
Range 1,100,500,-20,-90
Range 2,500,900,-35,-70
Range 3,900,1500,-35,-85
Range 4,1500,3700,-35,-70
Range 5,3700,4400,-35,-90
Range 6,4400,5000,-35,-70
Range 7,5000,5700,-35,-100
Range 8,7000,8000,-50,-130
Range 9,8000,14700,-75,-130
Range 10,14700,15000,-65,-130
Hz,dBFS(rms),Upper Limit,Lower Limit
0,-84.07,-20,-90
3.91,-71.21,-20,-90
7.81,-63.36,-20,-90
11.72,-53.31,-20,-90
15.63,-45.41,-20,-90
19.53,-49,-20,-90
23.44,-63.01,-20,-90
27.34,-64.78,-20,-90
31.25,-55.07,-20,-90
35.16,-55,-20,-90
39.06,-61.05,-20,-90
42.97,-62.32,-20,-90
46.88,-56.06,-20,-90
50.78,-52.16,-20,-90
54.69,-50.89,-20,-90
58.59,-48.86,-20,-90
62.5,-44.68,-20,-90
66.41,-45,-20,-90
70.31,-51.97,-20,-90
74.22,-56.92,-20,-90
78.13,-59.39,-20,-90
82.03,-60.67,-20,-90
85.94,-60.03,-20,-90
89.84,-60.22,-20,-90
93.75,-56.65,-20,-90
97.66,-53.19,-20,-90
101.56,-49.15,-20,-90
105.47,-47.38,-20,-90
109.38,-48.1,-20,-90
113.28,-48.35,-20,-90
117.19,-48.86,-20,-90
121.09,-47.79,-20,-90
125,-47.58,-20,-90
128.91,-48.5,-20,-90
132.81,-49.76,-20,-90
136.72,-50.12,-20,-90
140.63,-50.52,-20,-90
144.53,-50.67,-20,-90
148.44,-51.32,-20,-90
152.34,-55.97,-20,-90
156.25,-60.06,-20,-90
160.16,-58.93,-20,-90
164.06,-57.15,-20,-90
167.97,-55.38,-20,-90
171.88,-51.47,-20,-90
175.78,-47.51,-20,-90
179.69,-47.95,-20,-90
183.59,-51.28,-20,-90
187.5,-51.33,-20,-90
191.41,-51.47,-20,-90
195.31,-50.51,-20,-90
199.22,-48.74,-20,-90
203.13,-48.4,-20,-90
207.03,-48.17,-20,-90
210.94,-47.45,-20,-90
214.84,-46.55,-20,-90
218.75,-45.96,-20,-90
222.66,-45.45,-20,-90
226.56,-43.7,-20,-90
230.47,-42.13,-20,-90
234.38,-40.93,-20,-90
238.28,-38.9,-20,-90
242.19,-36.43,-20,-90
246.09,-34.71,-20,-90
250,-33.51,-20,-90
253.91,-33.15,-20,-90
257.81,-34.04,-20,-90
261.72,-33.76,-20,-90
265.63,-32.99,-20,-90
269.53,-33.05,-20,-90
273.44,-33.89,-20,-90
277.34,-35.09,-20,-90
281.25,-36.53,-20,-90
285.16,-37.94,-20,-90
289.06,-39.35,-20,-90
292.97,-40.55,-20,-90
296.88,-41.45,-20,-90
300.78,-42.31,-20,-90
304.69,-43.27,-20,-90
308.59,-44.29,-20,-90
312.5,-45.27,-20,-90
316.41,-46.4,-20,-90
320.31,-47.4,-20,-90
324.22,-48.37,-20,-90
328.13,-49.08,-20,-90
332.03,-49.63,-20,-90
335.94,-50.54,-20,-90
339.84,-51.31,-20,-90
343.75,-51.57,-20,-90
347.66,-52.14,-20,-90
351.56,-52.39,-20,-90
355.47,-52.14,-20,-90
359.38,-51.61,-20,-90
363.28,-50.68,-20,-90
367.19,-50.02,-20,-90
371.09,-49.68,-20,-90
375,-49.34,-20,-90
378.91,-48.89,-20,-90
382.81,-48.4,-20,-90
386.72,-47.99,-20,-90
390.63,-47.85,-20,-90
394.53,-47.96,-20,-90
398.44,-48.21,-20,-90
402.34,-48.77,-20,-90
406.25,-49.45,-20,-90
410.16,-50.52,-20,-90
414.06,-51.92,-20,-90
417.97,-52.8,-20,-90
421.88,-53.21,-20,-90
425.78,-53.52,-20,-90
429.69,-54.11,-20,-90
433.59,-55.09,-20,-90
437.5,-55.35,-20,-90
441.41,-54.83,-20,-90
445.31,-54.51,-20,-90
449.22,-54.4,-20,-90
453.13,-54.24,-20,-90
457.03,-54.2,-20,-90
460.94,-54.22,-20,-90
464.84,-54.44,-20,-90
468.75,-54.92,-20,-90
472.66,-55.71,-20,-90
476.56,-56.62,-20,-90
480.47,-57.01,-20,-90
484.38,-56.82,-20,-90
488.28,-56.56,-20,-90
492.19,-56.23,-20,-90
496.09,-55.65,-20,-90
500,-55.29,-35,-70
503.91,-54.95,-35,-70
507.81,-54.53,-35,-70
511.72,-54.16,-35,-70
515.63,-53.75,-35,-70
519.53,-53.41,-35,-70
523.44,-52.91,-35,-70
527.34,-52.44,-35,-70
531.25,-52.06,-35,-70
535.16,-51.73,-35,-70
539.06,-51.49,-35,-70
542.97,-51.19,-35,-70
546.88,-50.76,-35,-70
550.78,-50.26,-35,-70
554.69,-49.74,-35,-70
558.59,-49.23,-35,-70
562.5,-48.8,-35,-70
566.41,-48.44,-35,-70
570.31,-48.15,-35,-70
574.22,-47.79,-35,-70
578.13,-47.41,-35,-70
582.03,-47.07,-35,-70
585.94,-46.77,-35,-70
589.84,-46.52,-35,-70
593.75,-46.29,-35,-70
597.66,-46.11,-35,-70
601.56,-45.93,-35,-70
605.47,-45.83,-35,-70
609.38,-45.85,-35,-70
613.28,-45.91,-35,-70
617.19,-45.99,-35,-70
621.09,-46.06,-35,-70
625,-46.11,-35,-70
628.91,-46.14,-35,-70
632.81,-46.18,-35,-70
636.72,-46.26,-35,-70
640.63,-46.35,-35,-70
644.53,-46.51,-35,-70
648.44,-46.73,-35,-70
652.34,-47.04,-35,-70
656.25,-47.44,-35,-70
660.16,-48,-35,-70
664.06,-48.74,-35,-70
667.97,-49.59,-35,-70
671.88,-50.51,-35,-70
675.78,-51.34,-35,-70
679.69,-51.91,-35,-70
683.59,-52.11,-35,-70
687.5,-52.2,-35,-70
691.41,-52.15,-35,-70
695.31,-51.99,-35,-70
699.22,-51.84,-35,-70
703.13,-51.67,-35,-70
707.03,-51.48,-35,-70
710.94,-51.3,-35,-70
714.84,-51.1,-35,-70
718.75,-50.9,-35,-70
722.66,-50.74,-35,-70
726.56,-50.64,-35,-70
730.47,-50.53,-35,-70
734.38,-50.43,-35,-70
738.28,-50.32,-35,-70
742.19,-50.23,-35,-70
746.09,-50.16,-35,-70
750,-50.09,-35,-70
753.91,-49.99,-35,-70
757.81,-49.92,-35,-70
761.72,-49.84,-35,-70
765.63,-49.77,-35,-70
769.53,-49.73,-35,-70
773.44,-49.65,-35,-70
777.34,-49.56,-35,-70
781.25,-49.49,-35,-70
785.16,-49.41,-35,-70
789.06,-49.29,-35,-70
792.97,-49.21,-35,-70
796.88,-49.12,-35,-70
800.78,-49.02,-35,-70
804.69,-48.93,-35,-70
808.59,-48.85,-35,-70
812.5,-48.79,-35,-70
816.41,-48.73,-35,-70
820.31,-48.65,-35,-70
824.22,-48.59,-35,-70
828.13,-48.53,-35,-70
832.03,-48.47,-35,-70
835.94,-48.43,-35,-70
839.84,-48.36,-35,-70
843.75,-48.28,-35,-70
847.66,-48.22,-35,-70
851.56,-48.15,-35,-70
855.47,-48.12,-35,-70
859.38,-48.07,-35,-70
863.28,-48.02,-35,-70
867.19,-48.01,-35,-70
871.09,-47.97,-35,-70
875,-47.95,-35,-70
878.91,-47.93,-35,-70
882.81,-47.96,-35,-70
886.72,-48,-35,-70
890.63,-48.06,-35,-70
894.53,-48.1,-35,-70
898.44,-48.13,-35,-70
902.34,-48.18,-35,-85
906.25,-48.24,-35,-85
910.16,-48.31,-35,-85
914.06,-48.37,-35,-85
917.97,-48.44,-35,-85
921.88,-48.47,-35,-85
925.78,-48.57,-35,-85
929.69,-48.69,-35,-85
933.59,-48.82,-35,-85
937.5,-48.96,-35,-85
941.41,-49.07,-35,-85
945.31,-49.17,-35,-85
949.22,-49.2,-35,-85
953.13,-49.15,-35,-85
957.03,-48.99,-35,-85
960.94,-48.77,-35,-85
964.84,-48.58,-35,-85
968.75,-48.42,-35,-85
972.66,-48.33,-35,-85
976.56,-48.36,-35,-85
980.47,-48.58,-35,-85
984.38,-48.91,-35,-85
988.28,-49.32,-35,-85
992.19,-49.79,-35,-85
996.09,-50.27,-35,-85
1000,-50.79,-35,-85
1003.91,-51.33,-35,-85
1007.81,-51.87,-35,-85
1011.72,-52.48,-35,-85
1015.63,-53.11,-35,-85
1019.53,-53.8,-35,-85
1023.44,-54.52,-35,-85
1027.34,-55.29,-35,-85
1031.25,-56.08,-35,-85
1035.16,-56.96,-35,-85
1039.06,-57.82,-35,-85
1042.97,-58.7,-35,-85
1046.88,-59.52,-35,-85
1050.78,-60.25,-35,-85
1054.69,-60.86,-35,-85
1058.59,-61.38,-35,-85
1062.5,-61.82,-35,-85
1066.41,-62.2,-35,-85
1070.31,-62.37,-35,-85
1074.22,-62.3,-35,-85
1078.13,-62.02,-35,-85
1082.03,-61.64,-35,-85
1085.94,-61.23,-35,-85
1089.84,-60.73,-35,-85
1093.75,-60.22,-35,-85
1097.66,-59.71,-35,-85
1101.56,-59.18,-35,-85
1105.47,-58.74,-35,-85
1109.38,-58.33,-35,-85
1113.28,-57.97,-35,-85
1117.19,-57.67,-35,-85
1121.09,-57.39,-35,-85
1125,-57.19,-35,-85
1128.91,-57.05,-35,-85
1132.81,-56.94,-35,-85
1136.72,-56.89,-35,-85
1140.63,-56.85,-35,-85
1144.53,-56.91,-35,-85
1148.44,-57.01,-35,-85
1152.34,-57.14,-35,-85
1156.25,-57.34,-35,-85
1160.16,-57.62,-35,-85
1164.06,-57.99,-35,-85
1167.97,-58.42,-35,-85
1171.88,-58.95,-35,-85
1175.78,-59.52,-35,-85
1179.69,-60.15,-35,-85
1183.59,-60.92,-35,-85
1187.5,-61.93,-35,-85
1191.41,-63.07,-35,-85
1195.31,-64.45,-35,-85
1199.22,-66.11,-35,-85
1203.13,-68,-35,-85
1207.03,-70.11,-35,-85
1210.94,-71.84,-35,-85
1214.84,-71.37,-35,-85
1218.75,-68.96,-35,-85
1222.66,-66.5,-35,-85
1226.56,-64.28,-35,-85
1230.47,-62.44,-35,-85
1234.38,-60.81,-35,-85
1238.28,-59.38,-35,-85
1242.19,-58.19,-35,-85
1246.09,-57.18,-35,-85
1250,-56.36,-35,-85
1253.91,-55.71,-35,-85
1257.81,-55.25,-35,-85
1261.72,-54.97,-35,-85
1265.63,-54.81,-35,-85
1269.53,-54.78,-35,-85
1273.44,-54.87,-35,-85
1277.34,-55,-35,-85
1281.25,-55.18,-35,-85
1285.16,-55.34,-35,-85
1289.06,-55.47,-35,-85
1292.97,-55.52,-35,-85
1296.88,-55.44,-35,-85
1300.78,-55.3,-35,-85
1304.69,-55.05,-35,-85
1308.59,-54.73,-35,-85
1312.5,-54.36,-35,-85
1316.41,-53.93,-35,-85
1320.31,-53.48,-35,-85
1324.22,-53.04,-35,-85
1328.13,-52.63,-35,-85
1332.03,-52.21,-35,-85
1335.94,-51.84,-35,-85
1339.84,-51.53,-35,-85
1343.75,-51.22,-35,-85
1347.66,-50.94,-35,-85
1351.56,-50.7,-35,-85
1355.47,-50.46,-35,-85
1359.38,-50.24,-35,-85
1363.28,-50.01,-35,-85
1367.19,-49.8,-35,-85
1371.09,-49.6,-35,-85
1375,-49.42,-35,-85
1378.91,-49.24,-35,-85
1382.81,-49.03,-35,-85
1386.72,-48.81,-35,-85
1390.63,-48.6,-35,-85
1394.53,-48.41,-35,-85
1398.44,-48.22,-35,-85
1402.34,-48.04,-35,-85
1406.25,-47.87,-35,-85
1410.16,-47.69,-35,-85
1414.06,-47.51,-35,-85
1417.97,-47.36,-35,-85
1421.88,-47.23,-35,-85
1425.78,-47.11,-35,-85
1429.69,-47.04,-35,-85
1433.59,-46.98,-35,-85
1437.5,-46.92,-35,-85
1441.41,-46.84,-35,-85
