[SWEEP]
Header=*FR,*THD,*R&B
Unit=dB,%,%

[FR]
Oactaves,12
Harmonic Ranges,,
Range,Start Freq,End Freq,Upper Limit,Lower Limit
Range 1,100,500,-15,-85
Range 2,500,1000,-25,-80
Range 3,1000,1400,-35,-80
Range 4,1400,3700,-35,-80
Range 5,3700,4400,-35,-80
Range 6,4400,5500,-35,-80
Range 7,5500,7000,-40,-85
Range 8,8000,13000,-40,-110
Range 9,13000,14700,-40,-120
Range 10,14700,15000,-60,-130
Hz,dBFS(rms),Upper Limit,Lower Limit
0,-57.33,-15,-85
5.86,-53.7,-15,-85
11.72,-57.51,-15,-85
17.58,-53.28,-15,-85
23.44,-53.93,-15,-85
29.3,-56.84,-15,-85
35.16,-56.93,-15,-85
41.02,-58.52,-15,-85
46.88,-54.53,-15,-85
52.73,-54.69,-15,-85
58.59,-55.93,-15,-85
64.45,-56.83,-15,-85
70.31,-64.08,-15,-85
76.17,-71.75,-15,-85
82.03,-74.78,-15,-85
87.89,-77.34,-15,-85
93.75,-77.52,-15,-85
99.61,-74.42,-15,-85
105.47,-75.52,-15,-85
111.33,-74.88,-15,-85
117.19,-69.24,-15,-85
123.05,-65.61,-15,-85
128.91,-64.19,-15,-85
134.77,-63.66,-15,-85
140.63,-62.95,-15,-85
146.48,-63.01,-15,-85
152.34,-63.65,-15,-85
158.2,-64.87,-15,-85
164.06,-66.4,-15,-85
169.92,-67.71,-15,-85
175.78,-68.25,-15,-85
181.64,-68.3,-15,-85
187.5,-67.88,-15,-85
193.36,-67.14,-15,-85
199.22,-66.15,-15,-85
205.08,-65.39,-15,-85
210.94,-64.65,-15,-85
216.8,-64.01,-15,-85
222.66,-63.4,-15,-85
228.52,-62.9,-15,-85
234.38,-62.39,-15,-85
240.23,-61.94,-15,-85
246.09,-61.55,-15,-85
251.95,-61.15,-15,-85
257.81,-60.77,-15,-85
263.67,-60.43,-15,-85
269.53,-60.08,-15,-85
275.39,-59.72,-15,-85
281.25,-59.4,-15,-85
287.11,-59.05,-15,-85
292.97,-58.74,-15,-85
298.83,-58.52,-15,-85
304.69,-58.48,-15,-85
310.55,-58.87,-15,-85
316.41,-59.9,-15,-85
322.27,-61.28,-15,-85
328.13,-62.14,-15,-85
333.98,-62.4,-15,-85
339.84,-62.51,-15,-85
345.7,-62.54,-15,-85
351.56,-62.48,-15,-85
357.42,-62.35,-15,-85
363.28,-62.22,-15,-85
369.14,-62.09,-15,-85
375,-61.91,-15,-85
380.86,-61.77,-15,-85
386.72,-61.65,-15,-85
392.58,-61.57,-15,-85
398.44,-61.51,-15,-85
404.3,-61.43,-15,-85
410.16,-61.37,-15,-85
416.02,-61.31,-15,-85
421.88,-61.23,-15,-85
427.73,-61.13,-15,-85
433.59,-61.02,-15,-85
439.45,-60.99,-15,-85
445.31,-61.04,-15,-85
451.17,-61.2,-15,-85
457.03,-61.44,-15,-85
462.89,-61.6,-15,-85
468.75,-61.6,-15,-85
474.61,-61.52,-15,-85
480.47,-61.37,-15,-85
486.33,-61.22,-15,-85
492.19,-61.07,-15,-85
498.05,-60.94,-15,-85
503.91,-60.8,-25,-80
509.77,-60.66,-25,-80
515.63,-60.53,-25,-80
521.48,-60.37,-25,-80
527.34,-60.21,-25,-80
533.2,-60.04,-25,-80
539.06,-59.89,-25,-80
544.92,-59.69,-25,-80
550.78,-59.43,-25,-80
556.64,-59.13,-25,-80
562.5,-58.82,-25,-80
568.36,-58.48,-25,-80
574.22,-58.14,-25,-80
580.08,-57.85,-25,-80
585.94,-57.72,-25,-80
591.8,-57.83,-25,-80
597.66,-58.12,-25,-80
603.52,-58.28,-25,-80
609.38,-58.2,-25,-80
615.23,-58.04,-25,-80
621.09,-58.21,-25,-80
626.95,-58.98,-25,-80
632.81,-60.22,-25,-80
638.67,-61.58,-25,-80
644.53,-62.78,-25,-80
650.39,-63.56,-25,-80
656.25,-63.89,-25,-80
662.11,-63.94,-25,-80
667.97,-63.88,-25,-80
673.83,-63.89,-25,-80
679.69,-64.06,-25,-80
685.55,-64.42,-25,-80
691.41,-64.93,-25,-80
