[SWEEP]
Header=*FR,*THD,*R&B
Unit=dB,%,%

[FR]
Oactaves,12
Harmonic Ranges,,
Range,Start Freq,End Freq,Upper Limit,Lower Limit
Range 1,100,500,-30,-95
Range 2,500,1800,-40,-90
Range 3,1800,2400,-35,-100
Range 4,2600,4900,-35,-95
Range 5,4900,6000,-35,-100
Range 6,6000,6200,-35,-110
Range 7,8000,12500,-75,-140
Range 8,12500,13000,-75,-150
Range 9,13000,14700,-75,-150
Range 10,14700,15000,-65,-150
Hz,dBFS(rms),Upper Limit,Lower Limit
0,-85.25,-30,-95
3.91,-75.5,-30,-95
7.81,-67.83,-30,-95
11.72,-57.84,-30,-95
15.63,-52.81,-30,-95
19.53,-56.72,-30,-95
23.44,-68.6,-30,-95
27.34,-67.91,-30,-95
31.25,-59.49,-30,-95
35.16,-58.91,-30,-95
39.06,-65.17,-30,-95
42.97,-68.14,-30,-95
46.88,-61.56,-30,-95
50.78,-57.72,-30,-95
54.69,-48.85,-30,-95
58.59,-42.82,-30,-95
62.5,-47.24,-30,-95
66.41,-50.98,-30,-95
70.31,-52.55,-30,-95
74.22,-55.63,-30,-95
78.13,-59.59,-30,-95
82.03,-61.14,-30,-95
85.94,-61.33,-30,-95
89.84,-60.75,-30,-95
93.75,-60.88,-30,-95
97.66,-57.15,-30,-95
101.56,-54.27,-30,-95
105.47,-52.44,-30,-95
109.38,-50.21,-30,-95
113.28,-50.18,-30,-95
117.19,-51.94,-30,-95
121.09,-50.76,-30,-95
125,-49.86,-30,-95
128.91,-49.83,-30,-95
132.81,-50.32,-30,-95
136.72,-50.18,-30,-95
140.63,-49.81,-30,-95
144.53,-48.85,-30,-95
148.44,-49.27,-30,-95
152.34,-52.54,-30,-95
156.25,-52.58,-30,-95
160.16,-52.07,-30,-95
164.06,-51.86,-30,-95
167.97,-52.34,-30,-95
171.88,-52.91,-30,-95
175.78,-48.94,-30,-95
179.69,-46.83,-30,-95
183.59,-47.78,-30,-95
187.5,-48.82,-30,-95
191.41,-48.98,-30,-95
195.31,-49.01,-30,-95
199.22,-49.19,-30,-95
203.13,-49.67,-30,-95
207.03,-49.16,-30,-95
210.94,-48.48,-30,-95
214.84,-47.75,-30,-95
218.75,-47.04,-30,-95
222.66,-46.81,-30,-95
226.56,-47.84,-30,-95
230.47,-48.84,-30,-95
234.38,-49.04,-30,-95
238.28,-48.33,-30,-95
242.19,-47.85,-30,-95
246.09,-47.59,-30,-95
250,-47.9,-30,-95
253.91,-48.46,-30,-95
257.81,-46.79,-30,-95
261.72,-45.31,-30,-95
265.63,-46.86,-30,-95
269.53,-49.4,-30,-95
273.44,-50.99,-30,-95
277.34,-53.31,-30,-95
