[SWEEP]
Header=*FR,*THD,*R&B
Unit=dB,%,%

[FR]
Oactaves,12
Harmonic Ranges,,
Range,Start Freq,End Freq,Upper Limit,Lower Limit
Range 1,100,250,-30,-100
Range 2,250,1000,-30,-90
Range 3,1000,1400,-35,-90
Range 4,1400,4000,-35,-90
Range 5,4000,4700,-35,-90
Range 6,4400,5500,-35,-90
Range 7,5500,7000,-35,-90
Range 8,7000,12500,-35,-90
Range 9,13000,14000,-35,-90
Range 10,14700,15000,-50,-120
Hz,dBFS(rms),Upper Limit,Lower Limit
0,-59.96,-30,-85
3.91,-52.05,-30,-85
7.81,-53.2,-30,-85
11.72,-54.51,-30,-85
15.63,-57.09,-30,-85
19.53,-57.16,-30,-85
23.44,-57.96,-30,-85
27.34,-60.77,-30,-85
31.25,-61.21,-30,-85
35.16,-61.82,-30,-85
39.06,-61.71,-30,-85
42.97,-60.21,-30,-85
46.88,-55.52,-30,-85
50.78,-54.62,-30,-85
54.69,-60.85,-30,-85
58.59,-62.1,-30,-85
62.5,-60.82,-30,-85
66.41,-61.51,-30,-85
70.31,-65.57,-30,-85
74.22,-68.44,-30,-85
78.13,-71.64,-30,-85
82.03,-73.17,-30,-85
85.94,-74.12,-30,-85
89.84,-75.51,-30,-85
93.75,-75.85,-30,-85
97.66,-78.13,-30,-85
101.56,-78.97,-30,-85
105.47,-79.24,-30,-85
109.38,-71.9,-30,-85
113.28,-65.23,-30,-85
117.19,-68.36,-30,-85
121.09,-72.89,-30,-85
125,-72.95,-30,-85
128.91,-72.81,-30,-85
132.81,-73.95,-30,-85
136.72,-76.66,-30,-85
140.63,-76.59,-30,-85
144.53,-76.85,-30,-85
148.44,-76.13,-30,-85
152.34,-76.16,-30,-85
156.25,-77.38,-30,-85
160.16,-77.47,-30,-85
164.06,-78.55,-30,-85
167.97,-80.42,-30,-85
171.88,-80.48,-30,-85
175.78,-80.76,-30,-85
179.69,-82.64,-30,-85
183.59,-84.44,-30,-85
187.5,-85.88,-30,-85
191.41,-86.14,-30,-85
195.31,-86.95,-30,-85
199.22,-85.54,-30,-85
203.13,-86.47,-30,-85
207.03,-87.3,-30,-85
210.94,-87.7,-30,-85
214.84,-86.53,-30,-85
218.75,-86.11,-30,-85
222.66,-86.97,-30,-85
226.56,-86.55,-30,-85
230.47,-87.6,-30,-85
234.38,-87.72,-30,-85
238.28,-86.82,-30,-85
242.19,-86.96,-30,-85
246.09,-87.14,-30,-85
250,-87.73,-30,-90
253.91,-88.49,-30,-90
257.81,-88.17,-30,-90
261.72,-87.93,-30,-90
265.63,-87.89,-30,-90
269.53,-88,-30,-90
273.44,-87.52,-30,-90
277.34,-87.41,-30,-90
281.25,-87.06,-30,-90
285.16,-86.9,-30,-90
289.06,-87.15,-30,-90
292.97,-86.7,-30,-90
296.88,-85.23,-30,-90
300.78,-84.85,-30,-90
304.69,-84.97,-30,-90
308.59,-84.66,-30,-90
312.5,-84.15,-30,-90
316.41,-83.32,-30,-90
320.31,-82.1,-30,-90
324.22,-80.96,-30,-90
328.13,-79.04,-30,-90
332.03,-76.86,-30,-90
335.94,-74.51,-30,-90
339.84,-71.46,-30,-90
343.75,-68.29,-30,-90
347.66,-65.12,-30,-90
351.56,-62.17,-30,-90
355.47,-59.93,-30,-90
359.38,-58.62,-30,-90
363.28,-58.18,-30,-90
367.19,-57.65,-30,-90
371.09,-56.5,-30,-90
375,-56.03,-30,-90
378.91,-55.78,-30,-90
382.81,-55.05,-30,-90
386.72,-54.93,-30,-90
390.63,-54.34,-30,-90
394.53,-54.15,-30,-90
398.44,-53.68,-30,-90
402.34,-53.44,-30,-90
406.25,-53.1,-30,-90
410.16,-52.78,-30,-90
414.06,-52.53,-30,-90
417.97,-52.25,-30,-90
421.88,-51.99,-30,-90
425.78,-51.75,-30,-90
429.69,-51.54,-30,-90
433.59,-51.34,-30,-90
437.5,-51.15,-30,-90
441.41,-50.99,-30,-90
445.31,-50.84,-30,-90
449.22,-50.71,-30,-90
453.13,-50.59,-30,-90
457.03,-50.48,-30,-90
460.94,-50.39,-30,-90
464.84,-50.31,-30,-90
468.75,-50.24,-30,-90
472.66,-50.19,-30,-90
476.56,-50.15,-30,-90
480.47,-50.11,-30,-90
484.38,-50.07,-30,-90
488.28,-50.04,-30,-90
492.19,-50.02,-30,-90
496.09,-49.99,-30,-90
500,-49.95,-30,-90
503.91,-49.91,-30,-90
507.81,-49.87,-30,-90
511.72,-49.81,-30,-90
515.63,-49.74,-30,-90
519.53,-49.66,-30,-90
523.44,-49.57,-30,-90
527.34,-49.47,-30,-90
531.25,-49.35,-30,-90
535.16,-49.23,-30,-90
539.06,-49.09,-30,-90
542.97,-48.95,-30,-90
546.88,-48.8,-30,-90
550.78,-48.65,-30,-90
554.69,-48.49,-30,-90
558.59,-48.32,-30,-90
562.5,-48.17,-30,-90
566.41,-48.01,-30,-90
570.31,-47.87,-30,-90
574.22,-47.73,-30,-90
578.13,-47.59,-30,-90
582.03,-47.46,-30,-90
585.94,-47.34,-30,-90
589.84,-47.23,-30,-90
593.75,-47.14,-30,-90
597.66,-47.05,-30,-90
601.56,-46.98,-30,-90
605.47,-46.91,-30,-90
609.38,-46.86,-30,-90
613.28,-46.83,-30,-90
617.19,-46.8,-30,-90
621.09,-46.79,-30,-90
625,-46.78,-30,-90
628.91,-46.77,-30,-90
632.81,-46.78,-30,-90
636.72,-46.79,-30,-90
640.63,-46.8,-30,-90
644.53,-46.81,-30,-90
648.44,-46.81,-30,-90
652.34,-46.83,-30,-90
656.25,-46.82,-30,-90
660.16,-46.81,-30,-90
664.06,-46.8,-30,-90
667.97,-46.76,-30,-90
671.88,-46.71,-30,-90
675.78,-46.65,-30,-90
679.69,-46.56,-30,-90
683.59,-46.46,-30,-90
687.5,-46.34,-30,-90
691.41,-46.21,-30,-90
695.31,-46.06,-30,-90
699.22,-45.91,-30,-90
703.13,-45.77,-30,-90
707.03,-45.63,-30,-90
710.94,-45.48,-30,-90
714.84,-45.31,-30,-90
718.75,-45.12,-30,-90
722.66,-44.94,-30,-90
726.56,-44.77,-30,-90
730.47,-44.58,-30,-90
734.38,-44.37,-30,-90
738.28,-44.18,-30,-90
742.19,-43.99,-30,-90
746.09,-43.78,-30,-90
750,-43.6,-30,-90
753.91,-43.42,-30,-90
757.81,-43.23,-30,-90
761.72,-43.07,-30,-90
765.63,-42.9,-30,-90
769.53,-42.75,-30,-90
773.44,-42.6,-30,-90
777.34,-42.47,-30,-90
781.25,-42.33,-30,-90
785.16,-42.23,-30,-90
789.06,-42.12,-30,-90
792.97,-42.03,-30,-90
796.88,-41.94,-30,-90
800.78,-41.87,-30,-90
804.69,-41.81,-30,-90
808.59,-41.76,-30,-90
812.5,-41.72,-30,-90
816.41,-41.69,-30,-90
820.31,-41.67,-30,-90
824.22,-41.65,-30,-90
828.13,-41.64,-30,-90
832.03,-41.64,-30,-90
835.94,-41.64,-30,-90
839.84,-41.65,-30,-90
843.75,-41.66,-30,-90
847.66,-41.68,-30,-90
851.56,-41.7,-30,-90
855.47,-41.72,-30,-90
859.38,-41.75,-30,-90
863.28,-41.77,-30,-90
867.19,-41.8,-30,-90
871.09,-41.83,-30,-90
875,-41.85,-30,-90
878.91,-41.87,-30,-90
882.81,-41.9,-30,-90
886.72,-41.92,-30,-90
890.63,-41.93,-30,-90
894.53,-41.95,-30,-90
898.44,-41.96,-30,-90
902.34,-41.97,-30,-90
906.25,-41.98,-30,-90
910.16,-41.98,-30,-90
914.06,-41.98,-30,-90
917.97,-41.98,-30,-90
921.88,-41.98,-30,-90
925.78,-41.96,-30,-90
929.69,-41.95,-30,-90
933.59,-41.93,-30,-90
937.5,-41.91,-30,-90
941.41,-41.89,-30,-90
945.31,-41.87,-30,-90
949.22,-41.84,-30,-90
953.13,-41.81,-30,-90
957.03,-41.78,-30,-90
960.94,-41.75,-30,-90
964.84,-41.71,-30,-90
968.75,-41.68,-30,-90
972.66,-41.65,-30,-90
976.56,-41.62,-30,-90
980.47,-41.59,-30,-90
984.38,-41.56,-30,-90
988.28,-41.52,-30,-90
992.19,-41.49,-30,-90
996.09,-41.46,-30,-90
1000,-41.43,-35,-90
1003.91,-41.4,-35,-90
1007.81,-41.36,-35,-90
1011.72,-41.33,-35,-90
1015.63,-41.29,-35,-90
1019.53,-41.26,-35,-90
1023.44,-41.23,-35,-90
1027.34,-41.2,-35,-90
1031.25,-41.17,-35,-90
1035.16,-41.15,-35,-90
1039.06,-41.13,-35,-90
1042.97,-41.11,-35,-90
1046.88,-41.08,-35,-90
1050.78,-41.06,-35,-90
1054.69,-41.04,-35,-90
1058.59,-41.03,-35,-90
1062.5,-41.03,-35,-90
1066.41,-41.05,-35,-90
1070.31,-41.08,-35,-90
1074.22,-41.11,-35,-90
1078.13,-41.16,-35,-90
1082.03,-41.21,-35,-90
1085.94,-41.29,-35,-90
1089.84,-41.38,-35,-90
1093.75,-41.47,-35,-90
1097.66,-41.57,-35,-90
1101.56,-41.69,-35,-90
1105.47,-41.8,-35,-90
1109.38,-41.91,-35,-90
1113.28,-42.03,-35,-90
1117.19,-42.15,-35,-90
1121.09,-42.26,-35,-90
1125,-42.37,-35,-90
1128.91,-42.48,-35,-90
1132.81,-42.59,-35,-90
1136.72,-42.7,-35,-90
1140.63,-42.8,-35,-90
1144.53,-42.91,-35,-90
1148.44,-43.02,-35,-90
1152.34,-43.14,-35,-90
1156.25,-43.26,-35,-90
1160.16,-43.38,-35,-90
1164.06,-43.52,-35,-90
1167.97,-43.66,-35,-90
1171.88,-43.82,-35,-90
1175.78,-43.98,-35,-90
1179.69,-44.16,-35,-90
1183.59,-44.35,-35,-90
1187.5,-44.55,-35,-90
1191.41,-44.76,-35,-90
1195.31,-44.99,-35,-90
1199.22,-45.23,-35,-90
1203.13,-45.49,-35,-90
1207.03,-45.76,-35,-90
1210.94,-46.04,-35,-90
1214.84,-46.34,-35,-90
1218.75,-46.65,-35,-90
1222.66,-46.98,-35,-90
1226.56,-47.32,-35,-90
1230.47,-47.67,-35,-90
1234.38,-48.05,-35,-90
1238.28,-48.43,-35,-90
1242.19,-48.84,-35,-90
1246.09,-49.27,-35,-90
1250,-49.7,-35,-90
1253.91,-50.14,-35,-90
1257.81,-50.56,-35,-90
1261.72,-50.96,-35,-90
1265.63,-51.3,-35,-90
1269.53,-51.57,-35,-90
1273.44,-51.74,-35,-90
1277.34,-51.8,-35,-90
1281.25,-51.75,-35,-90
1285.16,-51.61,-35,-90
1289.06,-51.4,-35,-90
1292.97,-51.14,-35,-90
1296.88,-50.86,-35,-90
1300.78,-50.57,-35,-90
1304.69,-50.28,-35,-90
1308.59,-50.01,-35,-90
1312.5,-49.75,-35,-90
1316.41,-49.51,-35,-90
1320.31,-49.28,-35,-90
1324.22,-49.07,-35,-90
1328.13,-48.87,-35,-90
1332.03,-48.67,-35,-90
1335.94,-48.48,-35,-90
1339.84,-48.29,-35,-90
1343.75,-48.1,-35,-90
1347.66,-47.91,-35,-90
1351.56,-47.71,-35,-90
1355.47,-47.5,-35,-90
1359.38,-47.29,-35,-90
1363.28,-47.07,-35,-90
1367.19,-46.83,-35,-90
1371.09,-46.58,-35,-90
1375,-46.32,-35,-90
1378.91,-46.06,-35,-90
1382.81,-45.78,-35,-90
1386.72,-45.49,-35,-90
1390.63,-45.19,-35,-90
1394.53,-44.88,-35,-90
1398.44,-44.57,-35,-90
1402.34,-44.25,-35,-90
1406.25,-43.94,-35,-90
1410.16,-43.62,-35,-90
