[SWEEP]
Header=*FR,*THD,*R&B
Unit=dB,%,%

[FR]
Oactaves,12
Harmonic Ranges,,
Range,Start Freq,End Freq,Upper Limit,Lower Limit
Range 1,100,500,-15,-85
Range 2,500,1000,-35,-70
Range 3,1000,1400,-35,-70
Range 4,1400,3700,-35,-70
Range 5,3700,4400,-35,-85
Range 6,4400,5500,-35,-70
Range 7,5500,7000,-40,-90
Range 8,8000,13000,-65,-110
Range 9,13000,14700,-65,-120
Range 10,14700,15000,-75,-130
Hz,dBFS(rms),Upper Limit,Lower Limit
0,-31.79,-15,-85
5.86,-31.76,-15,-85
11.72,-52.69,-15,-85
17.58,-55.11,-15,-85
23.44,-61.12,-15,-85
29.3,-62.15,-15,-85
35.16,-57.51,-15,-85
41.02,-57.39,-15,-85
46.88,-54.78,-15,-85
52.73,-51.96,-15,-85
58.59,-50.07,-15,-85
64.45,-48.88,-15,-85
70.31,-51.79,-15,-85
76.17,-57.23,-15,-85
82.03,-62.53,-15,-85
87.89,-64.57,-15,-85
93.75,-64.36,-15,-85
99.61,-59.56,-15,-85
105.47,-60.11,-15,-85
111.33,-66.41,-15,-85
117.19,-69.41,-15,-85
123.05,-66.44,-15,-85
128.91,-69.88,-15,-85
134.77,-74.35,-15,-85
140.63,-74.61,-15,-85
146.48,-76.2,-15,-85
152.34,-75.34,-15,-85
158.2,-74.12,-15,-85
164.06,-76.23,-15,-85
169.92,-77.03,-15,-85
175.78,-70.59,-15,-85
181.64,-70.11,-15,-85
187.5,-74.2,-15,-85
193.36,-75.83,-15,-85
199.22,-73.16,-15,-85
205.08,-76.73,-15,-85
210.94,-78.96,-15,-85
216.8,-78.98,-15,-85
222.66,-80.68,-15,-85
228.52,-81.5,-15,-85
234.38,-80.18,-15,-85
240.23,-77.18,-15,-85
246.09,-76.05,-15,-85
251.95,-74.96,-15,-85
257.81,-71.58,-15,-85
263.67,-70.61,-15,-85
269.53,-70.74,-15,-85
275.39,-70.75,-15,-85
281.25,-72.53,-15,-85
287.11,-76.39,-15,-85
292.97,-77.42,-15,-85
298.83,-78.28,-15,-85
304.69,-77.8,-15,-85
310.55,-78.12,-15,-85
316.41,-79.55,-15,-85
322.27,-80.74,-15,-85
328.13,-81.71,-15,-85
333.98,-80.93,-15,-85
339.84,-80.08,-15,-85
345.7,-78.73,-15,-85
351.56,-79.56,-15,-85
357.42,-79.01,-15,-85
363.28,-78.76,-15,-85
369.14,-78.68,-15,-85
375,-79.47,-15,-85
380.86,-80.43,-15,-85
386.72,-80.39,-15,-85
392.58,-80.52,-15,-85
398.44,-80.89,-15,-85
404.3,-82.01,-15,-85
410.16,-82.44,-15,-85
416.02,-83.01,-15,-85
421.88,-81.77,-15,-85
427.73,-80.77,-15,-85
433.59,-80.53,-15,-85
439.45,-81.34,-15,-85
445.31,-81.75,-15,-85
451.17,-80.42,-15,-85
457.03,-80.84,-15,-85
462.89,-81.3,-15,-85
468.75,-83.12,-15,-85
474.61,-83.43,-15,-85
480.47,-82.86,-15,-85
486.33,-83,-15,-85
492.19,-81.68,-15,-85
498.05,-81.73,-15,-85
503.91,-81.81,-35,-70
509.77,-82.63,-35,-70
515.63,-81.87,-35,-70
521.48,-82.36,-35,-70
527.34,-82.19,-35,-70
533.2,-82.04,-35,-70
539.06,-82.92,-35,-70
544.92,-81.5,-35,-70
550.78,-80.74,-35,-70
556.64,-80.79,-35,-70
562.5,-79.81,-35,-70
568.36,-80.53,-35,-70
574.22,-82.5,-35,-70
580.08,-83.35,-35,-70
585.94,-83.34,-35,-70
591.8,-83.7,-35,-70
597.66,-82.8,-35,-70
603.52,-82.69,-35,-70
609.38,-82.58,-35,-70
615.23,-82.84,-35,-70
621.09,-83.34,-35,-70
626.95,-83.67,-35,-70
632.81,-83.68,-35,-70
638.67,-83.37,-35,-70
644.53,-83.44,-35,-70
650.39,-83.7,-35,-70
656.25,-84.05,-35,-70
662.11,-84.31,-35,-70
667.97,-84.5,-35,-70
673.83,-84.77,-35,-70
679.69,-84.36,-35,-70
685.55,-84.75,-35,-70
691.41,-84.43,-35,-70
697.27,-83.86,-35,-70
703.13,-83.97,-35,-70
708.98,-84.76,-35,-70
714.84,-84.95,-35,-70
720.7,-85.13,-35,-70
726.56,-85.55,-35,-70
732.42,-85.62,-35,-70
738.28,-85.11,-35,-70
744.14,-84.31,-35,-70
750,-84.93,-35,-70
755.86,-85.15,-35,-70
761.72,-84.75,-35,-70
