[SWEEP]
Header=*FR,*THD,*R&B
Unit=dB,%,%

[FR]
Oactaves,12
Harmonic Ranges,,
Range,Start Freq,End Freq,Upper Limit,Lower Limit
Range 1,100,500,-20,-80
Range 2,500,2000,-30,-65
Range 3,2000,3000,-30,-65
Range 4,3000,3600,-30,-60
Range 5,3600,4000,-30,-75
Range 6,4700,5500,-30,-75
Range 7,5500,6000,-30,-90
Range 8,7000,9000,-55,-110
Range 9,9000,12500,-55,-110
Range 10,12500,17000,-55,-120
Hz,dBFS(rms),Upper Limit,Lower Limit
0,-31.23,-20,-80
5.86,-31.19,-20,-80
11.72,-55.16,-20,-80
17.58,-54.89,-20,-80
23.44,-59.01,-20,-80
29.3,-60.1,-20,-80
35.16,-58.39,-20,-80
41.02,-58.56,-20,-80
46.88,-59.19,-20,-80
52.73,-59.4,-20,-80
58.59,-56.55,-20,-80
64.45,-53.22,-20,-80
70.31,-56.61,-20,-80
76.17,-65.64,-20,-80
82.03,-68.38,-20,-80
87.89,-68.82,-20,-80
93.75,-62.41,-20,-80
99.61,-58.18,-20,-80
105.47,-57.74,-20,-80
111.33,-53.19,-20,-80
117.19,-49.08,-20,-80
123.05,-48.91,-20,-80
128.91,-49.68,-20,-80
134.77,-50.63,-20,-80
140.63,-51.84,-20,-80
146.48,-53.13,-20,-80
152.34,-53.98,-20,-80
158.2,-54.85,-20,-80
164.06,-56.5,-20,-80
169.92,-58.4,-20,-80
175.78,-54.88,-20,-80
181.64,-54.62,-20,-80
187.5,-58.99,-20,-80
193.36,-59.88,-20,-80
199.22,-58.03,-20,-80
205.08,-56.64,-20,-80
210.94,-54.84,-20,-80
216.8,-53.26,-20,-80
222.66,-51.88,-20,-80
228.52,-50.26,-20,-80
234.38,-48.8,-20,-80
240.23,-47.98,-20,-80
246.09,-47.36,-20,-80
251.95,-46.73,-20,-80
257.81,-46.77,-20,-80
263.67,-47.04,-20,-80
269.53,-48,-20,-80
275.39,-49.12,-20,-80
281.25,-49.88,-20,-80
287.11,-50.19,-20,-80
292.97,-50.04,-20,-80
298.83,-49.56,-20,-80
304.69,-49.12,-20,-80
310.55,-48.59,-20,-80
316.41,-48.04,-20,-80
322.27,-47.54,-20,-80
328.13,-46.95,-20,-80
333.98,-46.34,-20,-80
339.84,-45.85,-20,-80
345.7,-45.35,-20,-80
351.56,-44.92,-20,-80
357.42,-44.44,-20,-80
363.28,-43.95,-20,-80
369.14,-43.5,-20,-80
375,-43.2,-20,-80
380.86,-43.01,-20,-80
386.72,-42.99,-20,-80
392.58,-43.2,-20,-80
398.44,-43.53,-20,-80
404.3,-43.88,-20,-80
410.16,-44.18,-20,-80
416.02,-44.52,-20,-80
421.88,-44.74,-20,-80
427.73,-44.78,-20,-80
433.59,-44.78,-20,-80
439.45,-44.69,-20,-80
445.31,-44.45,-20,-80
451.17,-44.34,-20,-80
457.03,-44.38,-20,-80
462.89,-44.47,-20,-80
468.75,-44.65,-20,-80
474.61,-44.75,-20,-80
480.47,-44.61,-20,-80
486.33,-44.31,-20,-80
492.19,-44,-20,-80
498.05,-43.69,-20,-80
503.91,-43.39,-30,-65
509.77,-43.24,-30,-65
515.63,-43.2,-30,-65
521.48,-43.15,-30,-65
527.34,-43.08,-30,-65
533.2,-42.94,-30,-65
539.06,-42.68,-30,-65
544.92,-42.46,-30,-65
550.78,-42.33,-30,-65
556.64,-42.18,-30,-65
562.5,-42.01,-30,-65
568.36,-41.84,-30,-65
574.22,-41.67,-30,-65
580.08,-41.41,-30,-65
585.94,-41.02,-30,-65
591.8,-40.54,-30,-65
597.66,-39.97,-30,-65
603.52,-39.39,-30,-65
609.38,-38.95,-30,-65
615.23,-38.81,-30,-65
621.09,-38.96,-30,-65
626.95,-39.25,-30,-65
632.81,-39.56,-30,-65
638.67,-39.84,-30,-65
644.53,-40.09,-30,-65
650.39,-40.3,-30,-65
656.25,-40.47,-30,-65
662.11,-40.58,-30,-65
667.97,-40.66,-30,-65
673.83,-40.76,-30,-65
679.69,-40.88,-30,-65
685.55,-41.02,-30,-65
691.41,-41.15,-30,-65
697.27,-41.25,-30,-65
703.13,-41.36,-30,-65
708.98,-41.51,-30,-65
714.84,-41.69,-30,-65
720.7,-41.9,-30,-65
726.56,-42.14,-30,-65
732.42,-42.39,-30,-65
738.28,-42.67,-30,-65
744.14,-42.93,-30,-65
