[SWEEP]
Header=*FR,*THD,*R&B
Unit=dB,%,%

[FR]
Oactaves,12
Harmonic Ranges,,
Range,Start Freq,End Freq,Upper Limit,Lower Limit
Range 1,100,500,-20,-80
Range 2,500,2000,-30,-65
Range 3,2000,3000,-30,-65
Range 4,3000,3600,-30,-60
Range 5,3600,4000,-30,-75
Range 6,4700,5500,-30,-75
Range 7,5500,6000,-30,-90
Range 8,7000,9000,-55,-110
Range 9,9000,12500,-55,-110
Range 10,12500,17000,-55,-120
Hz,dBFS(rms),Upper Limit,Lower Limit
0,-54,-20,-80
5.86,-44.15,-20,-80
11.72,-46.43,-20,-80
17.58,-53.43,-20,-80
23.44,-56.52,-20,-80
29.3,-56.41,-20,-80
35.16,-58.67,-20,-80
41.02,-56.02,-20,-80
46.88,-55.02,-20,-80
52.73,-59.1,-20,-80
58.59,-57.9,-20,-80
64.45,-59.99,-20,-80
70.31,-64.57,-20,-80
76.17,-62.12,-20,-80
82.03,-63.62,-20,-80
87.89,-67.22,-20,-80
93.75,-68.38,-20,-80
99.61,-66.85,-20,-80
105.47,-61.92,-20,-80
111.33,-55.63,-20,-80
117.19,-47.37,-20,-80
123.05,-44.24,-20,-80
128.91,-44.1,-20,-80
134.77,-43.56,-20,-80
140.63,-44.83,-20,-80
146.48,-44.99,-20,-80
152.34,-44.16,-20,-80
158.2,-43.67,-20,-80
164.06,-42.89,-20,-80
169.92,-41.09,-20,-80
175.78,-39.38,-20,-80
181.64,-39.55,-20,-80
187.5,-38.96,-20,-80
193.36,-39.73,-20,-80
199.22,-42.44,-20,-80
205.08,-42.07,-20,-80
210.94,-41.16,-20,-80
216.8,-40.26,-20,-80
222.66,-40.25,-20,-80
228.52,-40.62,-20,-80
234.38,-39.35,-20,-80
240.23,-38.94,-20,-80
246.09,-39.38,-20,-80
251.95,-38.89,-20,-80
257.81,-38.63,-20,-80
263.67,-39.11,-20,-80
269.53,-39.06,-20,-80
275.39,-38.51,-20,-80
281.25,-39.35,-20,-80
287.11,-40.53,-20,-80
292.97,-41.46,-20,-80
298.83,-41.61,-20,-80
304.69,-42.55,-20,-80
310.55,-43.23,-20,-80
316.41,-42.54,-20,-80
322.27,-41.96,-20,-80
328.13,-41.83,-20,-80
333.98,-40.5,-20,-80
339.84,-38.98,-20,-80
345.7,-38.5,-20,-80
351.56,-39.34,-20,-80
357.42,-39.29,-20,-80
363.28,-39.31,-20,-80
369.14,-39.56,-20,-80
375,-39.5,-20,-80
380.86,-39.34,-20,-80
386.72,-39.84,-20,-80
392.58,-40.13,-20,-80
398.44,-39.76,-20,-80
404.3,-40.79,-20,-80
410.16,-41.68,-20,-80
416.02,-42.99,-20,-80
421.88,-44.6,-20,-80
427.73,-45.85,-20,-80
433.59,-45.54,-20,-80
439.45,-45.07,-20,-80
445.31,-44.5,-20,-80
451.17,-43.73,-20,-80
457.03,-43.38,-20,-80
462.89,-42.86,-20,-80
468.75,-42.54,-20,-80
474.61,-41.93,-20,-80
480.47,-41.6,-20,-80
486.33,-42.2,-20,-80
492.19,-43.67,-20,-80
498.05,-43.09,-20,-80
503.91,-42.13,-30,-65
509.77,-41.99,-30,-65
515.63,-42.36,-30,-65
521.48,-42.3,-30,-65
527.34,-41.99,-30,-65
533.2,-42.25,-30,-65
539.06,-42.43,-30,-65
544.92,-42.16,-30,-65
550.78,-41.34,-30,-65
556.64,-40.91,-30,-65
562.5,-40.58,-30,-65
568.36,-41.08,-30,-65
574.22,-41.55,-30,-65
580.08,-41.58,-30,-65
585.94,-41.31,-30,-65
591.8,-42.08,-30,-65
597.66,-43.36,-30,-65
603.52,-43.7,-30,-65
609.38,-43.13,-30,-65
615.23,-42.88,-30,-65
621.09,-43.97,-30,-65
626.95,-45.24,-30,-65
632.81,-44.07,-30,-65
638.67,-43.3,-30,-65
644.53,-42.8,-30,-65
650.39,-42.45,-30,-65
656.25,-42.23,-30,-65
662.11,-42.34,-30,-65
667.97,-42.23,-30,-65
673.83,-41.74,-30,-65
679.69,-42.02,-30,-65
685.55,-42.89,-30,-65
691.41,-43.09,-30,-65
697.27,-42.66,-30,-65
703.13,-42.12,-30,-65
708.98,-42.54,-30,-65
714.84,-43.03,-30,-65
720.7,-42.31,-30,-65
726.56,-41.96,-30,-65
732.42,-41.97,-30,-65
738.28,-42.31,-30,-65
744.14,-41.82,-30,-65
750,-41.32,-30,-65
755.86,-41.75,-30,-65
761.72,-42.74,-30,-65
767.58,-43.35,-30,-65
773.44,-43.7,-30,-65
779.3,-44.34,-30,-65
785.16,-44.98,-30,-65
791.02,-45.3,-30,-65
796.88,-44.91,-30,-65
802.73,-44.69,-30,-65
808.59,-45.01,-30,-65
814.45,-45.79,-30,-65
820.31,-46.2,-30,-65
826.17,-46.44,-30,-65
832.03,-47.08,-30,-65
837.89,-47.45,-30,-65
843.75,-47.45,-30,-65
849.61,-47.4,-30,-65
855.47,-47.52,-30,-65
861.33,-47.99,-30,-65
867.19,-48.38,-30,-65
873.05,-49.04,-30,-65
878.91,-49.4,-30,-65
884.77,-49.89,-30,-65
890.63,-50.6,-30,-65
896.48,-51.3,-30,-65
902.34,-51.63,-30,-65
908.2,-52.25,-30,-65
914.06,-52.69,-30,-65
919.92,-53.13,-30,-65
925.78,-53.83,-30,-65
931.64,-54.75,-30,-65
937.5,-55.44,-30,-65
943.36,-56.55,-30,-65
949.22,-56.44,-30,-65
955.08,-56.34,-30,-65
960.94,-56.39,-30,-65
966.8,-57.35,-30,-65
972.66,-57.87,-30,-65
978.52,-57.74,-30,-65
984.38,-57.28,-30,-65
990.23,-56.44,-30,-65
996.09,-56.5,-30,-65
1001.95,-57.01,-30,-65
1007.81,-56.6,-30,-65
1013.67,-55.14,-30,-65
1019.53,-54.22,-30,-65
1025.39,-54.32,-30,-65
1031.25,-53.96,-30,-65
1037.11,-52.56,-30,-65
1042.97,-52.17,-30,-65
1048.83,-52.43,-30,-65
1054.69,-52,-30,-65
1060.55,-51.77,-30,-65
1066.41,-51.86,-30,-65
1072.27,-51.77,-30,-65
1078.13,-51.9,-30,-65
1083.98,-51.75,-30,-65
1089.84,-51.55,-30,-65
1095.7,-51.04,-30,-65
1101.56,-50.75,-30,-65
1107.42,-50.7,-30,-65
1113.28,-51.04,-30,-65
1119.14,-51.35,-30,-65
1125,-51.31,-30,-65
1130.86,-51.12,-30,-65
1136.72,-51.22,-30,-65
1142.58,-51.15,-30,-65
1148.44,-50.63,-30,-65
1154.3,-50.51,-30,-65
1160.16,-50.29,-30,-65
1166.02,-49.78,-30,-65
1171.88,-49.08,-30,-65
1177.73,-48.84,-30,-65
1183.59,-49.33,-30,-65
1189.45,-50.16,-30,-65
1195.31,-51.02,-30,-65
1201.17,-52.07,-30,-65
1207.03,-53.4,-30,-65
1212.89,-54.13,-30,-65
1218.75,-54.51,-30,-65
1224.61,-55.26,-30,-65
1230.47,-55.49,-30,-65
1236.33,-56.32,-30,-65
1242.19,-57.31,-30,-65
1248.05,-57.54,-30,-65
1253.91,-56.2,-30,-65
1259.77,-55.21,-30,-65
1265.63,-54.72,-30,-65
1271.48,-54.04,-30,-65
1277.34,-53.71,-30,-65
1283.2,-53.81,-30,-65
1289.06,-53.55,-30,-65
1294.92,-52.4,-30,-65
1300.78,-51.85,-30,-65
1306.64,-51.2,-30,-65
1312.5,-50.91,-30,-65
1318.36,-50.33,-30,-65
1324.22,-49.7,-30,-65
1330.08,-49.03,-30,-65
