[SWEEP]
Header=*FR,*THD,*R&B
Unit=dB,%,%

[FR]
Oactaves,12
Harmonic Ranges,,
Range,Start Freq,End Freq,Upper Limit,Lower Limit
Range 1,100,1570,12,-90
Range 2,1570,1750,-57,-110
Range 3,1750,3620,0,-110
Range 4,3620,3690,-65,-110
Range 5,3690,6227,0,-110
Range 6,6227,6229,-45,-110
Range 7,6229,6550,0,-110
Range 8,6550,6800,-52,-110
Range 9,6800,6926,-55,-110
Range 10,6926,17000,0,-110
Hz,dBFS(rms),Upper Limit,Lower Limit
0,-31.14,12,-90
5.86,-31.11,12,-90
11.72,-52.88,12,-90
17.58,-53.88,12,-90
23.44,-59.59,12,-90
29.3,-62.06,12,-90
35.16,-57.85,12,-90
41.02,-57.7,12,-90
46.88,-52.09,12,-90
52.73,-50.12,12,-90
58.59,-49,12,-90
64.45,-48.45,12,-90
70.31,-52.05,12,-90
76.17,-57.45,12,-90
82.03,-61.63,12,-90
87.89,-64.19,12,-90
93.75,-60.58,12,-90
99.61,-57.23,12,-90
105.47,-61.96,12,-90
111.33,-68.19,12,-90
117.19,-67.6,12,-90
123.05,-69.41,12,-90
128.91,-72.57,12,-90
134.77,-73.8,12,-90
140.63,-74.26,12,-90
146.48,-74.42,12,-90
152.34,-73.75,12,-90
158.2,-72.07,12,-90
164.06,-73.19,12,-90
169.92,-73.87,12,-90
175.78,-70.31,12,-90
181.64,-70.31,12,-90
187.5,-71.73,12,-90
193.36,-72.14,12,-90
199.22,-70.61,12,-90
205.08,-72.29,12,-90
210.94,-74.3,12,-90
216.8,-74.09,12,-90
222.66,-74.23,12,-90
228.52,-74.54,12,-90
234.38,-74.5,12,-90
240.23,-73.74,12,-90
246.09,-72.56,12,-90
251.95,-72.04,12,-90
257.81,-70.37,12,-90
263.67,-68.45,12,-90
269.53,-69.45,12,-90
275.39,-71.01,12,-90
281.25,-71.44,12,-90
287.11,-72.35,12,-90
292.97,-73.15,12,-90
298.83,-72.98,12,-90
304.69,-73.46,12,-90
310.55,-73.26,12,-90
316.41,-73.18,12,-90
322.27,-73.43,12,-90
328.13,-73.56,12,-90
333.98,-73.5,12,-90
339.84,-73.66,12,-90
345.7,-73.3,12,-90
351.56,-73.41,12,-90
357.42,-73.22,12,-90
363.28,-72.95,12,-90
369.14,-73.05,12,-90
375,-72.96,12,-90
380.86,-72.17,12,-90
386.72,-71.16,12,-90
392.58,-71.09,12,-90
398.44,-71.2,12,-90
404.3,-71.37,12,-90
410.16,-71.36,12,-90
416.02,-71.98,12,-90
421.88,-72.39,12,-90
427.73,-71.94,12,-90
433.59,-71.64,12,-90
439.45,-70.65,12,-90
445.31,-70.62,12,-90
451.17,-70.44,12,-90
457.03,-70.5,12,-90
462.89,-70.35,12,-90
468.75,-70.63,12,-90
474.61,-70.35,12,-90
480.47,-70.27,12,-90
486.33,-70.12,12,-90
492.19,-69.4,12,-90
498.05,-68.55,12,-90
503.91,-68.58,12,-90
509.77,-68.09,12,-90
515.63,-67.13,12,-90
521.48,-67.93,12,-90
527.34,-67.97,12,-90
533.2,-67.48,12,-90
539.06,-66.87,12,-90
544.92,-66.46,12,-90
550.78,-66.13,12,-90
556.64,-65.08,12,-90
562.5,-62.45,12,-90
568.36,-61.87,12,-90
574.22,-62.7,12,-90
580.08,-62.36,12,-90
585.94,-61.5,12,-90
591.8,-60.44,12,-90
597.66,-59.26,12,-90
603.52,-58,12,-90
609.38,-56.65,12,-90
615.23,-55.36,12,-90
621.09,-54.01,12,-90
626.95,-52.38,12,-90
632.81,-51.68,12,-90
638.67,-50.91,12,-90
644.53,-49.61,12,-90
650.39,-48.13,12,-90
656.25,-46.38,12,-90
662.11,-44.18,12,-90
667.97,-41.29,12,-90
673.83,-36.9,12,-90
679.69,-28.9,12,-90
685.55,-2.24,12,-90
691.41,4.99,12,-90
697.27,.33,12,-90
703.13,-26.16,12,-90
708.98,-35.83,12,-90
714.84,-40.99,12,-90
720.7,-44.36,12,-90
726.56,-46.83,12,-90
732.42,-48.81,12,-90
738.28,-50.47,12,-90
744.14,-51.92,12,-90
750,-52.92,12,-90
755.86,-53.6,12,-90
761.72,-55.19,12,-90
767.58,-56.71,12,-90
773.44,-57.85,12,-90
779.3,-58.93,12,-90
785.16,-59.92,12,-90
791.02,-60.73,12,-90
796.88,-61.71,12,-90
802.73,-62.58,12,-90
808.59,-62.95,12,-90
814.45,-61.74,12,-90
820.31,-62.08,12,-90
826.17,-64.44,12,-90
832.03,-66.13,12,-90
837.89,-66.91,12,-90
843.75,-67.4,12,-90
849.61,-67.77,12,-90
855.47,-68.13,12,-90
861.33,-68.44,12,-90
867.19,-68.6,12,-90
873.05,-68.6,12,-90
878.91,-68.08,12,-90
884.77,-68.02,12,-90
890.63,-69.68,12,-90
896.48,-70.4,12,-90
902.34,-70.64,12,-90
908.2,-70.85,12,-90
914.06,-71.02,12,-90
919.92,-71.33,12,-90
925.78,-71.65,12,-90
931.64,-71.94,12,-90
937.5,-71.44,12,-90
943.36,-70,12,-90
949.22,-71.29,12,-90
955.08,-72.46,12,-90
960.94,-72.46,12,-90
966.8,-72.73,12,-90
972.66,-73.06,12,-90
978.52,-73.26,12,-90
984.38,-73.2,12,-90
990.23,-73.42,12,-90
996.09,-73.27,12,-90
1001.95,-72.53,12,-90
1007.81,-71.99,12,-90
1013.67,-73.02,12,-90
1019.53,-73.54,12,-90
1025.39,-73.69,12,-90
1031.25,-73.12,12,-90
1037.11,-73.09,12,-90
1042.97,-72.76,12,-90
1048.83,-73.33,12,-90
1054.69,-74.38,12,-90
1060.55,-74.98,12,-90
1066.41,-74.83,12,-90
1072.27,-74.73,12,-90
1078.13,-75.01,12,-90
1083.98,-75.52,12,-90
1089.84,-75.65,12,-90
1095.7,-75.71,12,-90
1101.56,-75.46,12,-90
1107.42,-76.02,12,-90
1113.28,-76.01,12,-90
1119.14,-76.21,12,-90
1125,-76.33,12,-90
1130.86,-75.88,12,-90
1136.72,-76.38,12,-90
1142.58,-77.1,12,-90
1148.44,-76.98,12,-90
1154.3,-77.08,12,-90
1160.16,-77.01,12,-90
1166.02,-76.95,12,-90
1171.88,-77.29,12,-90
1177.73,-77.03,12,-90
1183.59,-76.95,12,-90
1189.45,-77.05,12,-90
1195.31,-77.34,12,-90
1201.17,-77.31,12,-90
1207.03,-76.89,12,-90
1212.89,-77.25,12,-90
1218.75,-77.13,12,-90
1224.61,-77.62,12,-90
1230.47,-77.23,12,-90
1236.33,-77.55,12,-90
1242.19,-78.05,12,-90
1248.05,-78.16,12,-90
1253.91,-78.09,12,-90
1259.77,-78.03,12,-90
1265.63,-78.1,12,-90
1271.48,-78.24,12,-90
1277.34,-77.97,12,-90
1283.2,-77.89,12,-90
1289.06,-78.31,12,-90
1294.92,-78.28,12,-90
1300.78,-78.62,12,-90
1306.64,-78.01,12,-90
1312.5,-77.66,12,-90
1318.36,-76.46,12,-90
1324.22,-75.59,12,-90
1330.08,-75.93,12,-90
1335.94,-76.05,12,-90
1341.8,-76.39,12,-90
1347.66,-76.79,12,-90
1353.52,-75.25,12,-90
1359.38,-72.39,12,-90
1365.23,-67.98,12,-90
1371.09,-60.43,12,-90
1376.95,-39.3,12,-90
1382.81,-30.75,12,-90
1388.67,-34.2,12,-90
1394.53,-55.59,12,-90
1400.39,-66.73,12,-90
1406.25,-71.73,12,-90
1412.11,-74.5,12,-90
1417.97,-76.03,12,-90
1423.83,-76.25,12,-90
1429.69,-76.8,12,-90
1435.55,-77.33,12,-90
1441.41,-77.41,12,-90
1447.27,-77.09,12,-90
1453.13,-77.81,12,-90
1458.98,-78.51,12,-90
1464.84,-78.7,12,-90
1470.7,-78.77,12,-90
1476.56,-79.58,12,-90
1482.42,-79.43,12,-90
1488.28,-79.9,12,-90
1494.14,-79.89,12,-90
1500,-79.54,12,-90
1505.86,-79.33,12,-90
1511.72,-79.36,12,-90
1517.58,-79.63,12,-90
1523.44,-79.66,12,-90
1529.3,-79.44,12,-90
1535.16,-79.57,12,-90
1541.02,-79.65,12,-90
1546.88,-80.16,12,-90
1552.73,-79.36,12,-90
1558.59,-79.45,12,-90
1564.45,-80.1,12,-90
1570.31,-79.83,-57,-110
1576.17,-79.76,-57,-110
1582.03,-80.18,-57,-110
1587.89,-80.38,-57,-110
1593.75,-80.81,-57,-110
1599.61,-80.58,-57,-110
1605.47,-80.37,-57,-110
1611.33,-80.84,-57,-110
1617.19,-80.6,-57,-110
1623.05,-80.64,-57,-110
1628.91,-80.08,-57,-110
1634.77,-80.19,-57,-110
1640.63,-80.53,-57,-110
1646.48,-80.62,-57,-110
1652.34,-80.57,-57,-110
1658.2,-80.57,-57,-110
1664.06,-80.76,-57,-110
1669.92,-80.47,-57,-110
1675.78,-80.49,-57,-110
1681.64,-81.29,-57,-110
1687.5,-81.03,-57,-110
1693.36,-80.82,-57,-110
1699.22,-80.56,-57,-110
1705.08,-80.96,-57,-110
1710.94,-81.39,-57,-110
1716.8,-80.66,-57,-110
