[SWEEP]
Header=*FR,*THD,*R&B
Unit=dB,%,%

[FR]
Oactaves,12
Harmonic Ranges,,
Range,Start Freq,End Freq,Upper Limit,Lower Limit
Range 1,100,250,-20,-110
Range 2,250,1400,-20,-110
Range 3,1400,3999,-20,-70
Range 4,3999,4003,-20,-70
Range 5,4003,5500,-20,-80
Range 6,5500,7000,-30,-95
Range 7,7000,10000,-35,-85
Range 8,10000,12000,-35,-120
Range 9,12000,15000,-50,-120
Range 10,15000,15500,-70,-120
Hz,dBFS(rms),Upper Limit,Lower Limit
0,-44.93,-20,-110
5.86,-40.41,-20,-110
11.72,-45.74,-20,-110
17.58,-47.05,-20,-110
23.44,-50,-20,-110
29.3,-53.4,-20,-110
35.16,-51.63,-20,-110
41.02,-55.81,-20,-110
46.88,-57.3,-20,-110
52.73,-60,-20,-110
58.59,-59.82,-20,-110
64.45,-59.01,-20,-110
70.31,-62.84,-20,-110
76.17,-68.34,-20,-110
82.03,-70.75,-20,-110
87.89,-71.76,-20,-110
93.75,-73.43,-20,-110
99.61,-74.42,-20,-110
105.47,-76.32,-20,-110
111.33,-75.2,-20,-110
117.19,-74.33,-20,-110
123.05,-74.8,-20,-110
128.91,-74.49,-20,-110
134.77,-74.51,-20,-110
140.63,-74.45,-20,-110
146.48,-74.87,-20,-110
152.34,-76.25,-20,-110
158.2,-78.41,-20,-110
164.06,-78.49,-20,-110
169.92,-79.09,-20,-110
175.78,-79.43,-20,-110
181.64,-80.85,-20,-110
187.5,-84.09,-20,-110
193.36,-84.35,-20,-110
199.22,-80.95,-20,-110
205.08,-82.32,-20,-110
210.94,-83.83,-20,-110
216.8,-83.02,-20,-110
222.66,-82.6,-20,-110
228.52,-82.81,-20,-110
234.38,-81.96,-20,-110
240.23,-81.97,-20,-110
246.09,-83.43,-20,-110
251.95,-84.57,-20,-110
257.81,-85.54,-20,-110
263.67,-85.28,-20,-110
269.53,-83.2,-20,-110
275.39,-82.07,-20,-110
281.25,-84.14,-20,-110
287.11,-83.11,-20,-110
292.97,-81.41,-20,-110
298.83,-83.74,-20,-110
304.69,-85.28,-20,-110
310.55,-86.24,-20,-110
316.41,-86.72,-20,-110
322.27,-84.35,-20,-110
328.13,-82.83,-20,-110
333.98,-83.57,-20,-110
339.84,-83.92,-20,-110
345.7,-81.45,-20,-110
351.56,-82.03,-20,-110
357.42,-85.73,-20,-110
363.28,-86.82,-20,-110
369.14,-87.95,-20,-110
375,-86.71,-20,-110
380.86,-83.47,-20,-110
386.72,-83.98,-20,-110
392.58,-86.32,-20,-110
398.44,-85.19,-20,-110
404.3,-86.15,-20,-110
410.16,-87.53,-20,-110
416.02,-85.45,-20,-110
421.88,-84.64,-20,-110
427.73,-85.68,-20,-110
433.59,-84.67,-20,-110
439.45,-86.35,-20,-110
445.31,-87.61,-20,-110
451.17,-86.78,-20,-110
457.03,-86.23,-20,-110
462.89,-86.3,-20,-110
468.75,-85.63,-20,-110
474.61,-86.07,-20,-110
480.47,-86.89,-20,-110
486.33,-87.64,-20,-110
492.19,-87.34,-20,-110
498.05,-86.96,-20,-110
503.91,-85.46,-20,-110
509.77,-85.65,-20,-110
515.63,-88.07,-20,-110
521.48,-86.37,-20,-110
527.34,-86.33,-20,-110
533.2,-85.6,-20,-110
539.06,-86.09,-20,-110
544.92,-87.26,-20,-110
550.78,-87.46,-20,-110
556.64,-84.98,-20,-110
562.5,-84.54,-20,-110
568.36,-83.98,-20,-110
574.22,-85.03,-20,-110
580.08,-87.11,-20,-110
585.94,-87.4,-20,-110
591.8,-86.63,-20,-110
597.66,-86.81,-20,-110
603.52,-85.97,-20,-110
609.38,-85.62,-20,-110
615.23,-85.87,-20,-110
621.09,-85.26,-20,-110
626.95,-85.87,-20,-110
632.81,-86.44,-20,-110
638.67,-85.6,-20,-110
644.53,-86.05,-20,-110
650.39,-86.4,-20,-110
656.25,-85.34,-20,-110
662.11,-85.32,-20,-110
667.97,-85.91,-20,-110
673.83,-84.72,-20,-110
679.69,-83.31,-20,-110
685.55,-83.84,-20,-110
691.41,-84.16,-20,-110
697.27,-83.01,-20,-110
