,Left Channel,,,,,,Right Channel,,,,,
,NI,FS(rms),FS(peak),dBFS(rms),dBFS(peak),%,NI,FS(rms),FS(peak),dBFS(rms),dBFS(peak),%
,0,0,0,1,0,0,0,0,0,1,0,0
,0,1,0,0,0,0,0,1,0,0,0,0
,0,0,0,0,0,1,0,0,0,0,0,1
,0,0,0,0,0,1,0,0,0,0,0,1
,0,0,0,1,0,0,0,0,0,1,0,0
,0,0,0,1,0,0,0,0,0,1,0,0
,1,0,0,1,0,0,1,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,1,0,0,1,0,0,1,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
