AC,3060.68
DC,-3.27
THD,0.00
THDN,0.00
#Components,0

AC,3060.68
DC,-3.27
THD,0.00
THDN,0.00
#Components,0

AC,0.00
DC,0.00
THD,146.15
THDN,100.00
#Components,6
[0],freq,3.001411e+002,amp,3.479337e+001
[1],freq,6.000658e+002,amp,1.545102e+000
[2],freq,9.002397e+002,amp,9.172058e+000
[3],freq,1.200098e+003,amp,1.073537e+000
[4],freq,1.500145e+003,amp,4.994869e+001
[5],freq,1.800196e+003,amp,1.755880e+000

AC,0.00
DC,0.00
THD,146.14
THDN,100.00
#Components,6
[0],freq,3.001411e+002,amp,3.479392e+001
[1],freq,6.000659e+002,amp,1.544779e+000
[2],freq,9.002397e+002,amp,9.175229e+000
[3],freq,1.200098e+003,amp,1.072099e+000
[4],freq,1.500145e+003,amp,4.994739e+001
[5],freq,1.800196e+003,amp,1.757362e+000

AC,6124.73
DC,3.70
THD,0.00
THDN,0.00
#Components,0

AC,6124.73
DC,3.70
THD,0.00
THDN,0.00
#Components,0

AC,0.00
DC,0.00
THD,3401.34
THDN,100.00
#Components,6
[0],freq,3.000797e+002,amp,2.139944e+001
[1],freq,6.000067e+002,amp,2.358658e+001
[2],freq,8.998721e+002,amp,8.862813e+000
[3],freq,1.200046e+003,amp,7.476076e+000
[4],freq,1.500032e+003,amp,7.273887e+002
[5],freq,1.799830e+003,amp,2.783822e+000

AC,0.00
DC,0.00
THD,3401.42
THDN,100.00
#Components,6
[0],freq,3.000797e+002,amp,2.139897e+001
[1],freq,6.000067e+002,amp,2.358685e+001
[2],freq,8.998721e+002,amp,8.864191e+000
[3],freq,1.200046e+003,amp,7.476821e+000
[4],freq,1.500032e+003,amp,7.273887e+002
[5],freq,1.799830e+003,amp,2.784876e+000

AC,6065.82
DC,-47.09
THD,0.00
THDN,0.00
#Components,0

AC,6065.82
DC,-47.09
THD,0.00
THDN,0.00
#Components,0

AC,0.00
DC,0.00
THD,6739.37
THDN,100.00
#Components,6
[0],freq,2.998928e+002,amp,1.140983e+001
[1],freq,5.999452e+002,amp,2.485209e+001
[2],freq,8.999944e+002,amp,8.483683e+000
[3],freq,1.200047e+003,amp,1.638339e+000
[4],freq,1.499969e+003,amp,7.685005e+002
[5],freq,1.800019e+003,amp,1.087207e+000

AC,0.00
DC,0.00
THD,6738.76
THDN,100.00
#Components,6
[0],freq,2.998928e+002,amp,1.141090e+001
[1],freq,5.999452e+002,amp,2.485005e+001
[2],freq,8.999944e+002,amp,8.482844e+000
[3],freq,1.200047e+003,amp,1.639108e+000
[4],freq,1.499969e+003,amp,7.685028e+002
[5],freq,1.800019e+003,amp,1.085960e+000

AC,343.82
DC,-1.11
THD,0.00
THDN,0.00
#Components,0

AC,343.82
DC,-1.11
THD,0.00
THDN,0.00
#Components,0

AC,0.00
DC,0.00
THD,63.94
THDN,100.00
#Components,6
[0],freq,3.000140e+002,amp,1.080279e+000
[1],freq,5.998776e+002,amp,4.754009e-001
[2],freq,8.999912e+002,amp,3.778032e-001
[3],freq,1.199853e+003,amp,2.179486e-001
[4],freq,1.499846e+003,amp,1.343074e-001
[5],freq,1.799960e+003,amp,2.068411e-001

AC,0.00
DC,0.00
THD,63.86
THDN,100.00
#Components,6
[0],freq,3.000140e+002,amp,1.079305e+000
[1],freq,5.998776e+002,amp,4.762348e-001
[2],freq,8.999912e+002,amp,3.772950e-001
[3],freq,1.199853e+003,amp,2.154446e-001
[4],freq,1.499847e+003,amp,1.272822e-001
[5],freq,1.799960e+003,amp,2.079175e-001

AC,6008.64
DC,-47.36
THD,0.00
THDN,0.00
#Components,0

AC,6008.64
DC,-47.36
THD,0.00
THDN,0.00
#Components,0

AC,0.00
DC,0.00
THD,7059.65
THDN,100.00
#Components,6
[0],freq,2.999578e+002,amp,1.103645e+001
[1],freq,5.998838e+002,amp,2.453719e+001
[2],freq,8.999947e+002,amp,1.013156e+001
[3],freq,1.200044e+003,amp,1.251213e+000
[4],freq,1.499909e+003,amp,7.786807e+002
[5],freq,1.799836e+003,amp,6.281412e-001

AC,0.00
DC,0.00
THD,7058.21
THDN,100.00
#Components,6
[0],freq,2.999578e+002,amp,1.103865e+001
[1],freq,5.998838e+002,amp,2.453730e+001
[2],freq,8.999946e+002,amp,1.013147e+001
[3],freq,1.200044e+003,amp,1.252415e+000
[4],freq,1.499909e+003,amp,7.786770e+002
[5],freq,1.799836e+003,amp,6.275940e-001

