SN,TestStatus,CLK+,CLK-,D0+,D0-,D1+,D1-,D2+,D2-
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.037,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.024,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.037,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.037,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.024,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.037,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.027,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.024,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.037,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.024,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.024,0
0,PASSED,3.027,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.024,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.027,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.027,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.028,3.037,3.018,3.036,3.022,3.039,3.025,0
0,PASSED,3.031,3.040,3.022,3.040,3.026,3.042,3.028,0
0,PASSED,3.031,3.040,3.022,3.040,3.026,3.042,3.028,0
0,PASSED,3.031,3.040,3.022,3.040,3.026,3.042,3.028,0
0,PASSED,3.031,3.040,3.022,3.040,3.026,3.042,3.028,0
0,PASSED,3.031,3.040,3.022,3.040,3.026,3.042,3.028,0
0,PASSED,3.031,3.040,3.022,3.040,3.026,3.042,3.028,0
0,PASSED,3.031,3.040,3.022,3.040,3.026,3.042,3.028,0
0,PASSED,3.031,3.040,3.022,3.040,3.026,3.042,3.028,0
0,PASSED,3.031,3.040,3.022,3.040,3.026,3.042,3.028,0
0,PASSED,3.031,3.040,3.021,3.040,3.026,3.042,3.028,0
